P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(-1, 0)","(41, -93)","(0.0, 102.0)","(94, 52)","(112.0, 0.0)","(197.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(789, 16)","(790, 16)","(-2, 0)","(40, -93)","(0.0, 102.0)","(93, 52)","(111.0, 0.0)","(196.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(788, 16)","(790, 16)",0,200,6607
"(-2, 0)","(40, -93)","(0.0, 102.0)","(93, 52)","(111.0, 0.0)","(196.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(788, 16)","(790, 16)","(-3, 0)","(39, -93)","(0.0, 102.0)","(92, 52)","(110.0, 0.0)","(195.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(787, 16)","(790, 16)",0,200,6643
"(-3, 0)","(39, -93)","(0.0, 102.0)","(92, 52)","(110.0, 0.0)","(195.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(787, 16)","(790, 16)","(-4, 0)","(38, -93)","(0.0, 102.0)","(91, 52)","(109.0, 0.0)","(194.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(786, 16)","(790, 16)",0,200,6679
"(-4, 0)","(38, -93)","(0.0, 102.0)","(91, 52)","(109.0, 0.0)","(194.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(786, 16)","(790, 16)","(-5, 0)","(37, -93)","(0.0, 102.0)","(90, 52)","(108.0, 0.0)","(193.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(785, 16)","(790, 16)",0,200,6714
"(-5, 0)","(37, -93)","(0.0, 102.0)","(90, 52)","(108.0, 0.0)","(193.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(785, 16)","(790, 16)","(-6, 0)","(36, -93)","(0.0, 102.0)","(89, 52)","(107.0, 0.0)","(192.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(784, 16)","(790, 16)",0,200,6750
"(-6, 0)","(36, -93)","(0.0, 102.0)","(89, 52)","(107.0, 0.0)","(192.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(784, 16)","(790, 16)","(-7, 0)","(35, -93)","(0.0, 102.0)","(88, 52)","(106.0, 0.0)","(191.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(783, 16)","(790, 16)",0,200,6786
"(-7, 0)","(35, -93)","(0.0, 102.0)","(88, 52)","(106.0, 0.0)","(191.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(783, 16)","(790, 16)","(-8, 0)","(34, -93)","(87, 52)","(0.0, 102.0)","(105.0, 0.0)","(190.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(782, 16)","(790, 16)",0,200,6821
"(-8, 0)","(34, -93)","(87, 52)","(0.0, 102.0)","(105.0, 0.0)","(190.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(782, 16)","(790, 16)","(-9, 0)","(33, -93)","(86, 52)","(0.0, 102.0)","(104.0, 0.0)","(189.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(781, 16)","(790, 16)",0,200,6857
"(-9, 0)","(33, -93)","(86, 52)","(0.0, 102.0)","(104.0, 0.0)","(189.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(781, 16)","(790, 16)","(-10, 0)","(32, -93)","(85, 52)","(0.0, 102.0)","(103.0, 0.0)","(188.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(780, 16)","(790, 16)",0,200,6893
"(-10, 0)","(32, -93)","(85, 52)","(0.0, 102.0)","(103.0, 0.0)","(188.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(780, 16)","(790, 16)","(-11, 0)","(31, -93)","(84, 52)","(0.0, 102.0)","(102.0, 0.0)","(187.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(779, 16)","(790, 16)",0,200,6929
"(-11, 0)","(31, -93)","(84, 52)","(0.0, 102.0)","(102.0, 0.0)","(187.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(779, 16)","(790, 16)","(-12, 0)","(30, -93)","(83, 52)","(101.0, 0.0)","(0.0, 102.0)","(186.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(778, 16)","(790, 16)",0,200,6964
"(-12, 0)","(30, -93)","(83, 52)","(101.0, 0.0)","(0.0, 102.0)","(186.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(778, 16)","(790, 16)","(-13, 0)","(82, 52)","(29, -93)","(100.0, 0.0)","(0.0, 102.0)","(185.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(777, 16)","(790, 16)",0,200,7000
"(-13, 0)","(82, 52)","(29, -93)","(100.0, 0.0)","(0.0, 102.0)","(185.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(777, 16)","(790, 16)","(-14, 0)","(81, 52)","(28, -93)","(99.0, 0.0)","(0.0, 102.0)","(184.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(776, 16)","(790, 16)",0,200,7036
"(-14, 0)","(81, 52)","(28, -93)","(99.0, 0.0)","(0.0, 102.0)","(184.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(776, 16)","(790, 16)","(-15, 0)","(80, 52)","(27, -93)","(98.0, 0.0)","(0.0, 102.0)","(183.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(775, 16)","(790, 16)",0,200,7071
"(-15, 0)","(80, 52)","(27, -93)","(98.0, 0.0)","(0.0, 102.0)","(183.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(775, 16)","(790, 16)","(-16, 0)","(79, 52)","(26, -93)","(97.0, 0.0)","(0.0, 102.0)","(182.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(774, 16)","(790, 16)",0,200,7107
"(-16, 0)","(79, 52)","(26, -93)","(97.0, 0.0)","(0.0, 102.0)","(182.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(774, 16)","(790, 16)","(-17, 0)","(78, 52)","(96.0, 0.0)","(25, -93)","(0.0, 102.0)","(181.0, 0.0)","(0, 102)","(42, -93)","(95, 52)","(113.0, 0.0)","(198.0, 0.0)","(773, 16)","(790, 16)",0,200,7143
