P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(1, 0)","(0.0, -20.0)","(0.0, 62.0)","(70, -29)","(76.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(32, 217)","(31, 217)","(2, 0)","(0.0, -20.0)","(0.0, 62.0)","(71, -29)","(77.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(33, 217)","(31, 217)",1,200,9000
"(2, 0)","(0.0, -20.0)","(0.0, 62.0)","(71, -29)","(77.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(33, 217)","(31, 217)","(3, 0)","(0.0, -20.0)","(0.0, 62.0)","(72, -29)","(78.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(34, 217)","(31, 217)",1,200,9036
"(3, 0)","(0.0, -20.0)","(0.0, 62.0)","(72, -29)","(78.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(34, 217)","(31, 217)","(4, 0)","(0.0, -20.0)","(0.0, 62.0)","(73, -29)","(79.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(35, 217)","(31, 217)",1,200,9071
"(4, 0)","(0.0, -20.0)","(0.0, 62.0)","(73, -29)","(79.0, 0.0)","(0.0, -80.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(35, 217)","(31, 217)","(5, 0)","(0.0, -20.0)","(0.0, 62.0)","(74, -29)","(0.0, -80.0)","(80.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(36, 217)","(31, 217)",1,200,9107
"(5, 0)","(0.0, -20.0)","(0.0, 62.0)","(74, -29)","(0.0, -80.0)","(80.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(36, 217)","(31, 217)","(6, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(75, -29)","(81.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(37, 217)","(31, 217)",1,200,9143
"(6, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(75, -29)","(81.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(37, 217)","(31, 217)","(7, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(76, -29)","(82.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(38, 217)","(31, 217)",1,200,9179
"(7, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(76, -29)","(82.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(38, 217)","(31, 217)","(8, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(77, -29)","(83.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(39, 217)","(31, 217)",1,200,9214
"(8, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(77, -29)","(83.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(39, 217)","(31, 217)","(9, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(78, -29)","(84.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(40, 217)","(31, 217)",1,200,9250
"(9, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(78, -29)","(84.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(40, 217)","(31, 217)","(10, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(79, -29)","(85.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(41, 217)","(31, 217)",1,200,9286
"(10, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(79, -29)","(85.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(41, 217)","(31, 217)","(11, 0)","(0.0, -20.0)","(0.0, 62.0)","(0.0, -80.0)","(80, -29)","(86.0, 0.0)","(0.0, -20.0)","(0.0, 62.0)","(69, -29)","(75.0, 0.0)","(0.0, -80.0)","(42, 217)","(31, 217)",1,200,9321
