P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(1, 0)","(16.0, 0.0)","(0.0, -16.0)","(51, -4)","(24, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-251, -89)","(-252, -89)","(2, 0)","(0.0, -16.0)","(17.0, 0.0)","(52, -4)","(25, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-250, -89)","(-252, -89)",1,200,6571
"(2, 0)","(0.0, -16.0)","(17.0, 0.0)","(52, -4)","(25, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-250, -89)","(-252, -89)","(3, 0)","(0.0, -16.0)","(18.0, 0.0)","(53, -4)","(26, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-249, -89)","(-252, -89)",1,200,6607
"(3, 0)","(0.0, -16.0)","(18.0, 0.0)","(53, -4)","(26, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-249, -89)","(-252, -89)","(4, 0)","(0.0, -16.0)","(19.0, 0.0)","(54, -4)","(27, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-248, -89)","(-252, -89)",1,200,6643
"(4, 0)","(0.0, -16.0)","(19.0, 0.0)","(54, -4)","(27, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-248, -89)","(-252, -89)","(5, 0)","(0.0, -16.0)","(20.0, 0.0)","(55, -4)","(28, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-247, -89)","(-252, -89)",1,200,6679
"(5, 0)","(0.0, -16.0)","(20.0, 0.0)","(55, -4)","(28, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-247, -89)","(-252, -89)","(6, 0)","(0.0, -16.0)","(21.0, 0.0)","(29, -48)","(56, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-246, -89)","(-252, -89)",1,200,6714
"(6, 0)","(0.0, -16.0)","(21.0, 0.0)","(29, -48)","(56, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-246, -89)","(-252, -89)","(7, 0)","(0.0, -16.0)","(22.0, 0.0)","(30, -48)","(57, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-245, -89)","(-252, -89)",1,200,6750
"(7, 0)","(0.0, -16.0)","(22.0, 0.0)","(30, -48)","(57, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-245, -89)","(-252, -89)","(8, 0)","(0.0, -16.0)","(23.0, 0.0)","(31, -48)","(58, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-244, -89)","(-252, -89)",1,200,6786
"(8, 0)","(0.0, -16.0)","(23.0, 0.0)","(31, -48)","(58, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-244, -89)","(-252, -89)","(9, 0)","(0.0, -16.0)","(24.0, 0.0)","(32, -48)","(59, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-243, -89)","(-252, -89)",1,200,6821
"(9, 0)","(0.0, -16.0)","(24.0, 0.0)","(32, -48)","(59, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-243, -89)","(-252, -89)","(10, 0)","(0.0, -16.0)","(25.0, 0.0)","(33, -48)","(60, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-242, -89)","(-252, -89)",1,200,6857
"(10, 0)","(0.0, -16.0)","(25.0, 0.0)","(33, -48)","(60, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-242, -89)","(-252, -89)","(11, 0)","(0.0, -16.0)","(26.0, 0.0)","(34, -48)","(61, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-241, -89)","(-252, -89)",1,200,6893
"(11, 0)","(0.0, -16.0)","(26.0, 0.0)","(34, -48)","(61, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-241, -89)","(-252, -89)","(12, 0)","(0.0, -16.0)","(27.0, 0.0)","(35, -48)","(62, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-240, -89)","(-252, -89)",1,200,6929
"(12, 0)","(0.0, -16.0)","(27.0, 0.0)","(35, -48)","(62, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-240, -89)","(-252, -89)","(13, 0)","(0.0, -16.0)","(28.0, 0.0)","(36, -48)","(63, -4)","(0, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-239, -89)","(-252, -89)",1,200,6964
"(13, 0)","(0.0, -16.0)","(28.0, 0.0)","(36, -48)","(63, -4)","(0, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-239, -89)","(-252, -89)","(14, 0)","(0.0, -16.0)","(29.0, 0.0)","(37, -48)","(64, -4)","(1, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-238, -89)","(-252, -89)",1,200,7000
"(14, 0)","(0.0, -16.0)","(29.0, 0.0)","(37, -48)","(64, -4)","(1, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-238, -89)","(-252, -89)","(15, 0)","(0.0, -16.0)","(30.0, 0.0)","(38, -48)","(65, -4)","(2, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-237, -89)","(-252, -89)",1,200,7036
"(15, 0)","(0.0, -16.0)","(30.0, 0.0)","(38, -48)","(65, -4)","(2, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-237, -89)","(-252, -89)","(16, 0)","(0.0, -16.0)","(31.0, 0.0)","(39, -48)","(66, -4)","(3, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-236, -89)","(-252, -89)",1,200,7071
"(16, 0)","(0.0, -16.0)","(31.0, 0.0)","(39, -48)","(66, -4)","(3, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-236, -89)","(-252, -89)","(17, 0)","(0.0, -16.0)","(32.0, 0.0)","(40, -48)","(67, -4)","(4, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-235, -89)","(-252, -89)",1,200,7107
"(17, 0)","(0.0, -16.0)","(32.0, 0.0)","(40, -48)","(67, -4)","(4, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-235, -89)","(-252, -89)","(18, 0)","(0.0, -16.0)","(33.0, 0.0)","(41, -48)","(68, -4)","(5, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-234, -89)","(-252, -89)",1,200,7143
"(18, 0)","(0.0, -16.0)","(33.0, 0.0)","(41, -48)","(68, -4)","(5, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-234, -89)","(-252, -89)","(19, 0)","(0.0, -16.0)","(34.0, 0.0)","(42, -48)","(69, -4)","(6, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-233, -89)","(-252, -89)",1,200,7179
"(19, 0)","(0.0, -16.0)","(34.0, 0.0)","(42, -48)","(69, -4)","(6, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-233, -89)","(-252, -89)","(20, 0)","(0.0, -16.0)","(35.0, 0.0)","(43, -48)","(70, -4)","(-104, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-232, -89)","(-252, -89)",1,200,7214
"(20, 0)","(0.0, -16.0)","(35.0, 0.0)","(43, -48)","(70, -4)","(-104, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-232, -89)","(-252, -89)","(21, 0)","(0.0, -16.0)","(36.0, 0.0)","(44, -48)","(71, -4)","(-103, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-231, -89)","(-252, -89)",1,200,7250
"(21, 0)","(0.0, -16.0)","(36.0, 0.0)","(44, -48)","(71, -4)","(-103, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-231, -89)","(-252, -89)","(22, 0)","(0.0, -16.0)","(37.0, 0.0)","(45, -48)","(72, -4)","(-102, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-230, -89)","(-252, -89)",1,200,7286
"(22, 0)","(0.0, -16.0)","(37.0, 0.0)","(45, -48)","(72, -4)","(-102, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-230, -89)","(-252, -89)","(23, 0)","(0.0, -16.0)","(38.0, 0.0)","(46, -48)","(73, -4)","(-101, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-229, -89)","(-252, -89)",1,200,7321
"(23, 0)","(0.0, -16.0)","(38.0, 0.0)","(46, -48)","(73, -4)","(-101, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-229, -89)","(-252, -89)","(24, 0)","(0.0, -16.0)","(39.0, 0.0)","(47, -48)","(74, -4)","(-100, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-228, -89)","(-252, -89)",1,200,7357
"(24, 0)","(0.0, -16.0)","(39.0, 0.0)","(47, -48)","(74, -4)","(-100, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-228, -89)","(-252, -89)","(25, 0)","(0, -16)","(40.0, 0.0)","(48, -48)","(75, -4)","(-99, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-227, -89)","(-252, -89)",1,200,7393
"(25, 0)","(0, -16)","(40.0, 0.0)","(48, -48)","(75, -4)","(-99, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-227, -89)","(-252, -89)","(26, 0)","(1, -16)","(41.0, 0.0)","(49, -48)","(76, -4)","(-98, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-226, -89)","(-252, -89)",1,200,7429
"(26, 0)","(1, -16)","(41.0, 0.0)","(49, -48)","(76, -4)","(-98, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-226, -89)","(-252, -89)","(27, 0)","(2, -16)","(42.0, 0.0)","(50, -48)","(77, -4)","(-97, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-225, -89)","(-252, -89)",1,200,7464
"(27, 0)","(2, -16)","(42.0, 0.0)","(50, -48)","(77, -4)","(-97, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-225, -89)","(-252, -89)","(28, 0)","(3, -16)","(43.0, 0.0)","(51, -48)","(78, -4)","(-96, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-224, -89)","(-252, -89)",1,200,7500
"(28, 0)","(3, -16)","(43.0, 0.0)","(51, -48)","(78, -4)","(-96, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-224, -89)","(-252, -89)","(29, 0)","(4, -16)","(44.0, 0.0)","(52, -48)","(79, -4)","(-95, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-223, -89)","(-252, -89)",1,200,7536
"(29, 0)","(4, -16)","(44.0, 0.0)","(52, -48)","(79, -4)","(-95, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-223, -89)","(-252, -89)","(30, 0)","(5, -16)","(45.0, 0.0)","(53, -48)","(80, -4)","(-94, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-222, -89)","(-252, -89)",1,200,7571
"(30, 0)","(5, -16)","(45.0, 0.0)","(53, -48)","(80, -4)","(-94, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-222, -89)","(-252, -89)","(31, 0)","(6, -16)","(46.0, 0.0)","(54, -48)","(81, -4)","(-93, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-221, -89)","(-252, -89)",1,200,7607
"(31, 0)","(6, -16)","(46.0, 0.0)","(54, -48)","(81, -4)","(-93, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-221, -89)","(-252, -89)","(32, 0)","(7, -16)","(47.0, 0.0)","(55, -48)","(82, -4)","(-92, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-220, -89)","(-252, -89)",1,200,7643
"(32, 0)","(7, -16)","(47.0, 0.0)","(55, -48)","(82, -4)","(-92, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-220, -89)","(-252, -89)","(33, 0)","(8, -16)","(48.0, 0.0)","(56, -48)","(83, -4)","(-91, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-219, -89)","(-252, -89)",1,200,7679
"(33, 0)","(8, -16)","(48.0, 0.0)","(56, -48)","(83, -4)","(-91, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-219, -89)","(-252, -89)","(34, 0)","(9, -16)","(49.0, 0.0)","(57, -48)","(84, -4)","(-90, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-218, -89)","(-252, -89)",1,200,7714
"(34, 0)","(9, -16)","(49.0, 0.0)","(57, -48)","(84, -4)","(-90, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-218, -89)","(-252, -89)","(35, 0)","(10, -16)","(50.0, 0.0)","(58, -48)","(85, -4)","(-89, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-217, -89)","(-252, -89)",1,200,7750
"(35, 0)","(10, -16)","(50.0, 0.0)","(58, -48)","(85, -4)","(-89, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-217, -89)","(-252, -89)","(36, 0)","(11, -16)","(51.0, 0.0)","(59, -48)","(86, -4)","(-88, 9)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-216, -89)","(-252, -89)",1,200,7786
