P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(0, -1)","(125, 3)","(25, 123)","(-80, 133)","(106, 140)","(155, 89)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 292)","(85, 293)","(0, -2)","(25, 122)","(125, 2)","(-80, 132)","(106, 139)","(155, 88)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 291)","(85, 293)",2,200,7143
"(0, -2)","(25, 122)","(125, 2)","(-80, 132)","(106, 139)","(155, 88)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 291)","(85, 293)","(0, -3)","(25, 121)","(125, 1)","(-80, 131)","(106, 138)","(155, 87)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 290)","(85, 293)",2,200,7179
"(0, -3)","(25, 121)","(125, 1)","(-80, 131)","(106, 138)","(155, 87)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 290)","(85, 293)","(0, -4)","(25, 120)","(125, 0)","(-80, 130)","(106, 137)","(155, 86)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 289)","(85, 293)",2,200,7214
"(0, -4)","(25, 120)","(125, 0)","(-80, 130)","(106, 137)","(155, 86)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 289)","(85, 293)","(0, -5)","(25, 119)","(125.0, 0.0)","(-80, 129)","(106, 136)","(155, 85)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 288)","(85, 293)",2,200,7250
"(0, -5)","(25, 119)","(125.0, 0.0)","(-80, 129)","(106, 136)","(155, 85)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 288)","(85, 293)","(0, -6)","(25, 118)","(125.0, 0.0)","(-80, 128)","(106, 135)","(155, 84)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 287)","(85, 293)",2,200,7286
"(0, -6)","(25, 118)","(125.0, 0.0)","(-80, 128)","(106, 135)","(155, 84)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 287)","(85, 293)","(0, -7)","(25, 117)","(125.0, 0.0)","(-80, 127)","(106, 134)","(155, 83)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 286)","(85, 293)",2,200,7321
"(0, -7)","(25, 117)","(125.0, 0.0)","(-80, 127)","(106, 134)","(155, 83)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 286)","(85, 293)","(0, -8)","(25, 116)","(125.0, 0.0)","(-80, 126)","(106, 133)","(155, 82)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 285)","(85, 293)",2,200,7357
"(0, -8)","(25, 116)","(125.0, 0.0)","(-80, 126)","(106, 133)","(155, 82)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 285)","(85, 293)","(0, -9)","(25, 115)","(125.0, 0.0)","(-80, 125)","(106, 132)","(155, 81)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 284)","(85, 293)",2,200,7393
"(0, -9)","(25, 115)","(125.0, 0.0)","(-80, 125)","(106, 132)","(155, 81)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 284)","(85, 293)","(0, -10)","(25, 114)","(125.0, 0.0)","(-80, 124)","(106, 131)","(155, 80)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 283)","(85, 293)",2,200,7429
"(0, -10)","(25, 114)","(125.0, 0.0)","(-80, 124)","(106, 131)","(155, 80)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 283)","(85, 293)","(0, -11)","(25, 113)","(125.0, 0.0)","(-80, 123)","(106, 130)","(155, 79)","(125, 4)","(25, 124)","(-80, 134)","(106, 141)","(155, 90)","(85, 282)","(85, 293)",2,200,7464
