P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(1, 0)","(31.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(56.0, 0.0)","(-72.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(484, 48)","(483, 48)","(2, 0)","(32.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(57.0, 0.0)","(-71.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(485, 48)","(483, 48)",1,200,10259
"(2, 0)","(32.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(57.0, 0.0)","(-71.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(485, 48)","(483, 48)","(3, 0)","(33.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(58.0, 0.0)","(-70.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(486, 48)","(483, 48)",1,200,10296
"(3, 0)","(33.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(58.0, 0.0)","(-70.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(486, 48)","(483, 48)","(4, 0)","(34.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(59.0, 0.0)","(-69.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(487, 48)","(483, 48)",1,200,10333
"(4, 0)","(34.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(59.0, 0.0)","(-69.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(487, 48)","(483, 48)","(5, 0)","(35.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(60.0, 0.0)","(-68.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(488, 48)","(483, 48)",1,200,10370
"(5, 0)","(35.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(60.0, 0.0)","(-68.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(488, 48)","(483, 48)","(6, 0)","(36.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(61.0, 0.0)","(-67.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(489, 48)","(483, 48)",1,200,10407
"(6, 0)","(36.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(61.0, 0.0)","(-67.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(489, 48)","(483, 48)","(7, 0)","(37.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(62.0, 0.0)","(-66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(490, 48)","(483, 48)",1,200,10444
"(7, 0)","(37.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(62.0, 0.0)","(-66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(490, 48)","(483, 48)","(8, 0)","(0.0, -37.0)","(38.0, 0.0)","(0.0, 53.0)","(63.0, 0.0)","(-65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(491, 48)","(483, 48)",1,200,10481
"(8, 0)","(0.0, -37.0)","(38.0, 0.0)","(0.0, 53.0)","(63.0, 0.0)","(-65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(491, 48)","(483, 48)","(9, 0)","(0.0, -37.0)","(39.0, 0.0)","(0.0, 53.0)","(-64.0, 0.0)","(64.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(492, 48)","(483, 48)",1,200,10519
"(9, 0)","(0.0, -37.0)","(39.0, 0.0)","(0.0, 53.0)","(-64.0, 0.0)","(64.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(492, 48)","(483, 48)","(10, 0)","(0.0, -37.0)","(40.0, 0.0)","(0.0, 53.0)","(-63.0, 0.0)","(65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(493, 48)","(483, 48)",1,200,10556
"(10, 0)","(0.0, -37.0)","(40.0, 0.0)","(0.0, 53.0)","(-63.0, 0.0)","(65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(493, 48)","(483, 48)","(11, 0)","(0.0, -37.0)","(41.0, 0.0)","(0.0, 53.0)","(-62.0, 0.0)","(66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(494, 48)","(483, 48)",1,200,10593
