P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(0, -1)","(-95, 45)","(-28, -141)","(-153.0, 0.0)","(-36, -218)","(0.0, -230.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 127)","(-138, 128)","(0, -2)","(-95, 44)","(-28, -142)","(-153.0, 0.0)","(-36, -219)","(0.0, -231.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 126)","(-138, 128)",2,200,13036
"(0, -2)","(-95, 44)","(-28, -142)","(-153.0, 0.0)","(-36, -219)","(0.0, -231.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 126)","(-138, 128)","(0, -3)","(-95, 43)","(-28, -143)","(-153.0, 0.0)","(-36, -220)","(0.0, -232.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 125)","(-138, 128)",2,200,13071
"(0, -3)","(-95, 43)","(-28, -143)","(-153.0, 0.0)","(-36, -220)","(0.0, -232.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 125)","(-138, 128)","(0, -4)","(-95, 42)","(-28, -144)","(-153.0, 0.0)","(-36, -221)","(0.0, -233.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 124)","(-138, 128)",2,200,13107
"(0, -4)","(-95, 42)","(-28, -144)","(-153.0, 0.0)","(-36, -221)","(0.0, -233.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 124)","(-138, 128)","(0, -5)","(-95, 41)","(-28, -145)","(-153.0, 0.0)","(-36, -222)","(0.0, -234.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 123)","(-138, 128)",2,200,13143
"(0, -5)","(-95, 41)","(-28, -145)","(-153.0, 0.0)","(-36, -222)","(0.0, -234.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 123)","(-138, 128)","(0, -6)","(-95, 40)","(-28, -146)","(-153.0, 0.0)","(-36, -223)","(0.0, -235.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 122)","(-138, 128)",2,200,13179
"(0, -6)","(-95, 40)","(-28, -146)","(-153.0, 0.0)","(-36, -223)","(0.0, -235.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 122)","(-138, 128)","(0, -7)","(-95, 39)","(-28, -147)","(-153.0, 0.0)","(-36, -224)","(0.0, -236.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 121)","(-138, 128)",2,200,13214
"(0, -7)","(-95, 39)","(-28, -147)","(-153.0, 0.0)","(-36, -224)","(0.0, -236.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 121)","(-138, 128)","(0, -8)","(-95, 38)","(-28, -148)","(-153.0, 0.0)","(-36, -225)","(0.0, -237.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 120)","(-138, 128)",2,200,13250
"(0, -8)","(-95, 38)","(-28, -148)","(-153.0, 0.0)","(-36, -225)","(0.0, -237.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 120)","(-138, 128)","(0, -9)","(-95, 37)","(-28, -149)","(-153.0, 0.0)","(-36, -226)","(0.0, -238.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 119)","(-138, 128)",2,200,13286
"(0, -9)","(-95, 37)","(-28, -149)","(-153.0, 0.0)","(-36, -226)","(0.0, -238.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 119)","(-138, 128)","(0, -10)","(-95, 36)","(-28, -150)","(-153.0, 0.0)","(-36, -227)","(0.0, -239.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 118)","(-138, 128)",2,200,13893
"(0, -10)","(-95, 36)","(-28, -150)","(-153.0, 0.0)","(-36, -227)","(0.0, -239.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 118)","(-138, 128)","(0, -11)","(-95, 35)","(-153.0, 0.0)","(-28, -151)","(-36, -228)","(0.0, -240.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 117)","(-138, 128)",2,200,13929
"(0, -11)","(-95, 35)","(-153.0, 0.0)","(-28, -151)","(-36, -228)","(0.0, -240.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 117)","(-138, 128)","(0, -12)","(-95, 34)","(-153.0, 0.0)","(-28, -152)","(-36, -229)","(0.0, -241.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 116)","(-138, 128)",2,200,13964
"(0, -12)","(-95, 34)","(-153.0, 0.0)","(-28, -152)","(-36, -229)","(0.0, -241.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 116)","(-138, 128)","(0, -13)","(-95, 33)","(-153.0, 0.0)","(-28, -153)","(-36, -230)","(0.0, -242.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 115)","(-138, 128)",2,200,14000
"(0, -13)","(-95, 33)","(-153.0, 0.0)","(-28, -153)","(-36, -230)","(0.0, -242.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 115)","(-138, 128)","(0, -14)","(-95, 32)","(-153.0, 0.0)","(-28, -154)","(-36, -231)","(0.0, -243.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 114)","(-138, 128)",2,200,14036
"(0, -14)","(-95, 32)","(-153.0, 0.0)","(-28, -154)","(-36, -231)","(0.0, -243.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 114)","(-138, 128)","(0, -15)","(-95, 31)","(-153.0, 0.0)","(-28, -155)","(-36, -232)","(0.0, -244.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 113)","(-138, 128)",2,200,14071
"(0, -15)","(-95, 31)","(-153.0, 0.0)","(-28, -155)","(-36, -232)","(0.0, -244.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 113)","(-138, 128)","(0, -16)","(-95, 30)","(-153.0, 0.0)","(-28, -156)","(-36, -233)","(0.0, -245.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 112)","(-138, 128)",2,200,14107
"(0, -16)","(-95, 30)","(-153.0, 0.0)","(-28, -156)","(-36, -233)","(0.0, -245.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 112)","(-138, 128)","(0, -17)","(-95, 29)","(-153.0, 0.0)","(-28, -157)","(-36, -234)","(0.0, -246.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 111)","(-138, 128)",2,200,14143
"(0, -17)","(-95, 29)","(-153.0, 0.0)","(-28, -157)","(-36, -234)","(0.0, -246.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 111)","(-138, 128)","(0, -18)","(-95, 28)","(-153.0, 0.0)","(-28, -158)","(-36, -235)","(0.0, -247.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 110)","(-138, 128)",2,200,14179
"(0, -18)","(-95, 28)","(-153.0, 0.0)","(-28, -158)","(-36, -235)","(0.0, -247.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 110)","(-138, 128)","(0, -19)","(-95, 27)","(-153.0, 0.0)","(-28, -159)","(-36, -236)","(0.0, -248.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 109)","(-138, 128)",2,200,14214
"(0, -19)","(-95, 27)","(-153.0, 0.0)","(-28, -159)","(-36, -236)","(0.0, -248.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 109)","(-138, 128)","(0, -20)","(-95, 26)","(-153.0, 0.0)","(-28, -160)","(-36, -237)","(0.0, -249.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 108)","(-138, 128)",2,200,14250
"(0, -20)","(-95, 26)","(-153.0, 0.0)","(-28, -160)","(-36, -237)","(0.0, -249.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 108)","(-138, 128)","(0, -21)","(-95, 25)","(-153.0, 0.0)","(-28, -161)","(-36, -238)","(0.0, -250.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 107)","(-138, 128)",2,200,14286
"(0, -21)","(-95, 25)","(-153.0, 0.0)","(-28, -161)","(-36, -238)","(0.0, -250.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 107)","(-138, 128)","(0, -22)","(-95, 24)","(-153.0, 0.0)","(-28, -162)","(-36, -239)","(0.0, -251.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 106)","(-138, 128)",2,200,14321
"(0, -22)","(-95, 24)","(-153.0, 0.0)","(-28, -162)","(-36, -239)","(0.0, -251.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 106)","(-138, 128)","(0, -23)","(-95, 23)","(-153, 0)","(-28, -163)","(-36, -240)","(0.0, -252.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 105)","(-138, 128)",2,200,14357
"(0, -23)","(-95, 23)","(-153, 0)","(-28, -163)","(-36, -240)","(0.0, -252.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 105)","(-138, 128)","(0, -24)","(-95, 22)","(-153, -1)","(-28, -164)","(-36, -241)","(0.0, -253.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 104)","(-138, 128)",2,200,14393
"(0, -24)","(-95, 22)","(-153, -1)","(-28, -164)","(-36, -241)","(0.0, -253.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 104)","(-138, 128)","(0, -25)","(-95, 21)","(-153, -2)","(-28, -165)","(-36, -242)","(0.0, -254.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 103)","(-138, 128)",2,200,14429
"(0, -25)","(-95, 21)","(-153, -2)","(-28, -165)","(-36, -242)","(0.0, -254.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 103)","(-138, 128)","(0, -26)","(-95, 20)","(-153, -3)","(-28, -166)","(-36, -243)","(0.0, -255.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 102)","(-138, 128)",2,200,14464
"(0, -26)","(-95, 20)","(-153, -3)","(-28, -166)","(-36, -243)","(0.0, -255.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 102)","(-138, 128)","(0, -27)","(-95, 19)","(-153, -4)","(-28, -167)","(-36, -244)","(0.0, -256.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 101)","(-138, 128)",2,200,14500
"(0, -27)","(-95, 19)","(-153, -4)","(-28, -167)","(-36, -244)","(0.0, -256.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 101)","(-138, 128)","(0, -28)","(-95, 18)","(-153, -5)","(-28, -168)","(-36, -245)","(0.0, -257.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 100)","(-138, 128)",2,200,14536
"(0, -28)","(-95, 18)","(-153, -5)","(-28, -168)","(-36, -245)","(0.0, -257.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 100)","(-138, 128)","(0, -29)","(-95, 17)","(-153, -6)","(-28, -169)","(-36, -246)","(0.0, -258.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 99)","(-138, 128)",2,200,14571
"(0, -29)","(-95, 17)","(-153, -6)","(-28, -169)","(-36, -246)","(0.0, -258.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 99)","(-138, 128)","(0, -30)","(-95, 16)","(-153, -7)","(-28, -170)","(-36, -247)","(0.0, -259.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 98)","(-138, 128)",2,200,14607
"(0, -30)","(-95, 16)","(-153, -7)","(-28, -170)","(-36, -247)","(0.0, -259.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 98)","(-138, 128)","(0, -31)","(-95, 15)","(-153, -8)","(-28, -171)","(-36, -248)","(0.0, -260.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 97)","(-138, 128)",2,200,14643
"(0, -31)","(-95, 15)","(-153, -8)","(-28, -171)","(-36, -248)","(0.0, -260.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 97)","(-138, 128)","(0, -32)","(-95, 14)","(-153, -9)","(-28, -172)","(-36, -249)","(0.0, -261.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 96)","(-138, 128)",2,200,14679
"(0, -32)","(-95, 14)","(-153, -9)","(-28, -172)","(-36, -249)","(0.0, -261.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 96)","(-138, 128)","(0, -33)","(-95, 13)","(-153, -10)","(-28, -173)","(-36, -250)","(0.0, -262.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 95)","(-138, 128)",2,200,14714
"(0, -33)","(-95, 13)","(-153, -10)","(-28, -173)","(-36, -250)","(0.0, -262.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 95)","(-138, 128)","(0, -34)","(-95, 12)","(-153, -11)","(-28, -174)","(-36, -251)","(0.0, -263.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 94)","(-138, 128)",2,200,14750
"(0, -34)","(-95, 12)","(-153, -11)","(-28, -174)","(-36, -251)","(0.0, -263.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 94)","(-138, 128)","(0, -35)","(-95, 11)","(-153, -12)","(-28, -175)","(-36, -252)","(0.0, -264.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 93)","(-138, 128)",2,200,14786
"(0, -35)","(-95, 11)","(-153, -12)","(-28, -175)","(-36, -252)","(0.0, -264.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 93)","(-138, 128)","(0, -36)","(-95, 10)","(-153, -13)","(-28, -176)","(-36, -253)","(0.0, -265.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 92)","(-138, 128)",2,200,14821
"(0, -36)","(-95, 10)","(-153, -13)","(-28, -176)","(-36, -253)","(0.0, -265.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 92)","(-138, 128)","(0, -37)","(-95, 9)","(-153, -14)","(-28, -177)","(-36, -254)","(0.0, -266.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 91)","(-138, 128)",2,200,14857
"(0, -37)","(-95, 9)","(-153, -14)","(-28, -177)","(-36, -254)","(0.0, -266.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 91)","(-138, 128)","(0, -38)","(-95, 8)","(-153, -15)","(-28, -178)","(-36, -255)","(0.0, -267.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 90)","(-138, 128)",2,200,14893
"(0, -38)","(-95, 8)","(-153, -15)","(-28, -178)","(-36, -255)","(0.0, -267.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 90)","(-138, 128)","(0, -39)","(-95, 7)","(-153, -16)","(-28, -179)","(-36, -256)","(0.0, -268.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 89)","(-138, 128)",2,200,14929
"(0, -39)","(-95, 7)","(-153, -16)","(-28, -179)","(-36, -256)","(0.0, -268.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 89)","(-138, 128)","(0, -40)","(-95, 6)","(-153, -17)","(-28, -180)","(-36, -257)","(0.0, -269.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 88)","(-138, 128)",2,200,14964
"(0, -40)","(-95, 6)","(-153, -17)","(-28, -180)","(-36, -257)","(0.0, -269.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 88)","(-138, 128)","(0, -41)","(-95, 5)","(-153, -18)","(-28, -181)","(-36, -258)","(0.0, -270.0)","(-95, 46)","(-28, -140)","(-153.0, 0.0)","(-36, -217)","(0.0, -229.0)","(-138, 87)","(-138, 128)",2,200,15000
