P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(0, -1)","(63, 34)","(60, -47)","(79, 59)","(-91, -103)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 167)","(23, 168)","(0, -2)","(63, 33)","(60, -48)","(79, 58)","(-91, -104)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 166)","(23, 168)",2,200,6852
"(0, -2)","(63, 33)","(60, -48)","(79, 58)","(-91, -104)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 166)","(23, 168)","(0, -3)","(63, 32)","(60, -49)","(79, 57)","(-91, -105)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 165)","(23, 168)",2,200,6889
"(0, -3)","(63, 32)","(60, -49)","(79, 57)","(-91, -105)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 165)","(23, 168)","(0, -4)","(63, 31)","(60, -50)","(79, 56)","(-91, -106)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 164)","(23, 168)",2,200,6926
"(0, -4)","(63, 31)","(60, -50)","(79, 56)","(-91, -106)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 164)","(23, 168)","(0, -5)","(63, 30)","(60, -51)","(79, 55)","(-91, -107)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 163)","(23, 168)",2,200,6963
"(0, -5)","(63, 30)","(60, -51)","(79, 55)","(-91, -107)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 163)","(23, 168)","(0, -6)","(63, 29)","(60, -52)","(79, 54)","(-91, -108)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 162)","(23, 168)",2,200,7000
"(0, -6)","(63, 29)","(60, -52)","(79, 54)","(-91, -108)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 162)","(23, 168)","(0, -7)","(63, 28)","(60, -53)","(79, 53)","(-91, -109)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 161)","(23, 168)",2,200,7034
"(0, -7)","(63, 28)","(60, -53)","(79, 53)","(-91, -109)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 161)","(23, 168)","(0, -8)","(63, 27)","(60, -54)","(79, 52)","(-91, -110)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 160)","(23, 168)",2,200,7069
"(0, -8)","(63, 27)","(60, -54)","(79, 52)","(-91, -110)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 160)","(23, 168)","(0, -9)","(63, 26)","(60, -55)","(79, 51)","(-143.0, 0.0)","(-91, -111)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 159)","(23, 168)",2,200,7103
"(0, -9)","(63, 26)","(60, -55)","(79, 51)","(-143.0, 0.0)","(-91, -111)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 159)","(23, 168)","(0, -10)","(63, 25)","(60, -56)","(79, 50)","(-143.0, 0.0)","(-91, -112)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 158)","(23, 168)",2,200,7138
"(0, -10)","(63, 25)","(60, -56)","(79, 50)","(-143.0, 0.0)","(-91, -112)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 158)","(23, 168)","(0, -11)","(63, 24)","(60, -57)","(79, 49)","(-143.0, 0.0)","(-91, -113)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 157)","(23, 168)",2,200,7172
"(0, -11)","(63, 24)","(60, -57)","(79, 49)","(-143.0, 0.0)","(-91, -113)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 157)","(23, 168)","(0, -12)","(63, 23)","(60, -58)","(79, 48)","(-143.0, 0.0)","(-91, -114)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 156)","(23, 168)",2,200,7207
"(0, -12)","(63, 23)","(60, -58)","(79, 48)","(-143.0, 0.0)","(-91, -114)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 156)","(23, 168)","(0, -13)","(63, 22)","(60, -59)","(79, 47)","(-143.0, 0.0)","(-91, -115)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 155)","(23, 168)",2,200,7241
"(0, -13)","(63, 22)","(60, -59)","(79, 47)","(-143.0, 0.0)","(-91, -115)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 155)","(23, 168)","(0, -14)","(63, 21)","(60, -60)","(79, 46)","(-143.0, 0.0)","(-91, -116)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 154)","(23, 168)",2,200,7276
"(0, -14)","(63, 21)","(60, -60)","(79, 46)","(-143.0, 0.0)","(-91, -116)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 154)","(23, 168)","(0, -15)","(63, 20)","(60, -61)","(79, 45)","(-143.0, 0.0)","(64, 133)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 153)","(23, 168)",2,200,7310
"(0, -15)","(63, 20)","(60, -61)","(79, 45)","(-143.0, 0.0)","(64, 133)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 153)","(23, 168)","(0, -16)","(63, 19)","(60, -62)","(79, 44)","(-143.0, 0.0)","(64, 132)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 152)","(23, 168)",2,200,7345
"(0, -16)","(63, 19)","(60, -62)","(79, 44)","(-143.0, 0.0)","(64, 132)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 152)","(23, 168)","(0, -17)","(63, 18)","(60, -63)","(79, 43)","(-143.0, 0.0)","(64, 131)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 151)","(23, 168)",2,200,7379
"(0, -17)","(63, 18)","(60, -63)","(79, 43)","(-143.0, 0.0)","(64, 131)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 151)","(23, 168)","(0, -18)","(63, 17)","(60, -64)","(79, 42)","(-143.0, 0.0)","(64, 130)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 150)","(23, 168)",2,200,7414
"(0, -18)","(63, 17)","(60, -64)","(79, 42)","(-143.0, 0.0)","(64, 130)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 150)","(23, 168)","(0, -19)","(63, 16)","(60, -65)","(79, 41)","(-143.0, 0.0)","(64, 129)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 149)","(23, 168)",2,200,7448
"(0, -19)","(63, 16)","(60, -65)","(79, 41)","(-143.0, 0.0)","(64, 129)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 149)","(23, 168)","(0, -20)","(63, 15)","(79, 40)","(60, -66)","(-143.0, 0.0)","(64, 128)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 148)","(23, 168)",2,200,7483
"(0, -20)","(63, 15)","(79, 40)","(60, -66)","(-143.0, 0.0)","(64, 128)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 148)","(23, 168)","(0, -21)","(63, 14)","(79, 39)","(60, -67)","(64, 127)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 147)","(23, 168)",2,200,7517
"(0, -21)","(63, 14)","(79, 39)","(60, -67)","(64, 127)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 147)","(23, 168)","(0, -22)","(63, 13)","(79, 38)","(60, -68)","(64, 126)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 146)","(23, 168)",2,200,7552
"(0, -22)","(63, 13)","(79, 38)","(60, -68)","(64, 126)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 146)","(23, 168)","(0, -23)","(63, 12)","(79, 37)","(60, -69)","(64, 125)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 145)","(23, 168)",2,200,7586
"(0, -23)","(63, 12)","(79, 37)","(60, -69)","(64, 125)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 145)","(23, 168)","(0, -24)","(63, 11)","(79, 36)","(60, -70)","(64, 124)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 144)","(23, 168)",2,200,7621
"(0, -24)","(63, 11)","(79, 36)","(60, -70)","(64, 124)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 144)","(23, 168)","(0, -25)","(63, 10)","(79, 35)","(60, -71)","(64, 123)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 143)","(23, 168)",2,200,7655
"(0, -25)","(63, 10)","(79, 35)","(60, -71)","(64, 123)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 143)","(23, 168)","(0, -26)","(63, 9)","(79, 34)","(60, -72)","(64, 122)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 142)","(23, 168)",2,200,7690
"(0, -26)","(63, 9)","(79, 34)","(60, -72)","(64, 122)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 142)","(23, 168)","(0, -27)","(63, 8)","(79, 33)","(60, -73)","(64, 121)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 141)","(23, 168)",2,200,7724
"(0, -27)","(63, 8)","(79, 33)","(60, -73)","(64, 121)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 141)","(23, 168)","(0, -28)","(63, 7)","(79, 32)","(60, -74)","(64, 120)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 140)","(23, 168)",2,200,7759
"(0, -28)","(63, 7)","(79, 32)","(60, -74)","(64, 120)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 140)","(23, 168)","(0, -29)","(63, 6)","(79, 31)","(60, -75)","(64, 119)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 139)","(23, 168)",2,200,7793
"(0, -29)","(63, 6)","(79, 31)","(60, -75)","(64, 119)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 139)","(23, 168)","(0, -30)","(63, 5)","(79, 30)","(60, -76)","(64, 118)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 138)","(23, 168)",2,200,7828
"(0, -30)","(63, 5)","(79, 30)","(60, -76)","(64, 118)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 138)","(23, 168)","(0, -31)","(63, 4)","(79, 29)","(60, -77)","(64, 117)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 137)","(23, 168)",2,200,7862
"(0, -31)","(63, 4)","(79, 29)","(60, -77)","(64, 117)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 137)","(23, 168)","(0, -32)","(63, 3)","(79, 28)","(60, -78)","(64, 116)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 136)","(23, 168)",2,200,7897
"(0, -32)","(63, 3)","(79, 28)","(60, -78)","(64, 116)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 136)","(23, 168)","(0, -33)","(63, 2)","(79, 27)","(60, -79)","(64, 115)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 135)","(23, 168)",2,200,7931
"(0, -33)","(63, 2)","(79, 27)","(60, -79)","(64, 115)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 135)","(23, 168)","(0, -34)","(63, 1)","(79, 26)","(60, -80)","(64, 114)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 134)","(23, 168)",2,200,7966
"(0, -34)","(63, 1)","(79, 26)","(60, -80)","(64, 114)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 134)","(23, 168)","(0, -35)","(63, 0)","(79, 25)","(60, -81)","(64, 113)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 133)","(23, 168)",2,200,8000
"(0, -35)","(63, 0)","(79, 25)","(60, -81)","(64, 113)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 133)","(23, 168)","(0, -36)","(63.0, 0.0)","(79, 24)","(60, -82)","(64, 112)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 132)","(23, 168)",2,200,8037
"(0, -36)","(63.0, 0.0)","(79, 24)","(60, -82)","(64, 112)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 132)","(23, 168)","(0, -37)","(63.0, 0.0)","(79, 23)","(60, -83)","(64, 111)","(-143.0, 0.0)","(63, 35)","(60, -46)","(79, 60)","(-91, -102)","(-143.0, 0.0)","(23, 131)","(23, 168)",2,200,8074
