P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
198,145,4,0,0,100,200,145,1,0,0,100,14:37:44,563,200
198,145,4,0,0,100,198,145,0,0,0,100,14:37:44,688,200
198,145,4,0,0,100,196,145,0,0,0,100,14:37:45,1071,200
198,147,3,0,0,100,196,145,4,0,0,100,14:37:45,1321,200
198,149,3,0,0,100,198,145,1,0,0,100,14:37:45,1357,200
198,151,3,0,0,100,198,145,4,0,0,100,14:37:45,1393,200
198,153,3,0,0,100,198,145,4,0,0,100,14:37:45,1429,200
198,155,3,0,0,100,198,145,4,0,0,100,14:37:45,1464,200
198,157,3,0,0,100,198,145,4,0,0,100,14:37:45,1500,200
198,159,3,0,0,100,198,145,4,0,0,100,14:37:45,1536,200
198,161,3,0,0,100,198,145,4,0,0,100,14:37:45,1571,200
198,163,3,0,0,100,198,145,4,0,0,100,14:37:45,1607,200
198,165,3,0,0,100,198,145,4,0,0,100,14:37:45,1643,200
198,167,3,0,0,100,198,145,4,0,0,100,14:37:45,1679,200
198,169,3,0,0,100,198,145,4,0,0,100,14:37:45,1714,200
198,171,3,0,0,100,198,145,4,0,0,100,14:37:45,1750,200
198,173,3,0,0,100,198,147,2,0,0,100,14:37:45,1786,200
198,175,3,0,0,100,198,147,4,0,0,100,14:37:45,1821,200
198,177,3,0,0,100,198,147,4,0,0,100,14:37:45,1857,200
198,179,3,0,0,100,198,147,4,0,0,100,14:37:45,1893,200
198,181,3,0,0,100,198,147,4,0,0,100,14:37:45,1929,200
198,183,3,0,0,100,198,149,2,0,0,100,14:37:45,1964,200
198,185,3,0,0,100,198,149,4,0,0,100,14:37:46,2000,200
198,187,3,0,0,100,198,149,4,0,0,100,14:37:46,2034,200
198,189,3,0,0,100,198,149,4,0,0,100,14:37:46,2069,200
198,191,3,0,0,100,198,149,4,0,0,100,14:37:46,2103,200
198,193,3,0,0,100,198,149,4,0,0,100,14:37:46,2138,200
198,195,3,0,0,100,198,149,4,0,0,100,14:37:46,2172,200
198,197,3,0,0,100,196,149,0,0,0,100,14:37:46,2207,200
198,199,3,0,0,100,196,149,4,0,0,100,14:37:46,2241,200
198,201,3,0,0,100,196,151,2,0,0,100,14:37:46,2276,200
198,203,3,0,0,100,196,153,2,0,0,100,14:37:46,2310,200
198,205,3,0,0,100,196,155,2,0,0,100,14:37:46,2345,200
198,207,3,0,0,100,196,157,2,0,0,100,14:37:46,2379,200
198,209,3,0,0,100,196,159,2,0,0,100,14:37:46,2414,200
198,211,3,0,0,100,196,161,2,0,0,100,14:37:46,2448,200
198,213,3,0,0,100,196,163,2,0,0,100,14:37:46,2483,200
198,215,3,0,0,100,196,165,2,0,0,100,14:37:46,2517,200
198,217,3,0,0,100,196,167,2,0,0,100,14:37:46,2552,200
198,219,3,0,0,100,196,169,2,0,0,100,14:37:46,2586,200
196,219,3,0,0,100,194,169,0,0,0,100,14:37:46,2621,200
196,221,3,0,0,100,194,171,2,0,0,100,14:37:46,2655,200
196,223,3,0,0,100,194,173,2,0,0,100,14:37:46,2690,200
196,225,3,0,0,100,194,175,2,0,0,100,14:37:46,2724,200
196,227,3,0,0,100,194,177,2,0,0,100,14:37:46,2759,200
196,229,3,0,0,100,194,179,2,0,0,100,14:37:46,2793,200
196,231,3,0,0,100,194,181,2,0,0,100,14:37:46,2828,200
