P1_to_P2_relative_position,P1_to_obs_point_0_relative_position,P1_to_obs_point_1_relative_position,P1_to_obs_point_2_relative_position,P1_to_obs_point_3_relative_position,P1_to_obs_point_4_relative_position,P1_to_obs_point_5_relative_position,P1_to_obs_point_6_relative_position,P1_to_obs_point_7_relative_position,P1_to_obs_point_8_relative_position,P1_to_obs_point_9_relative_position,P1_to_obs_point_10_relative_position,P1_to_obs_point_11_relative_position,P1_to_obs_point_12_relative_position,P1_to_obs_point_13_relative_position,P1_to_obs_point_14_relative_position,P1_to_obs_point_15_relative_position,P1_to_obs_point_16_relative_position,P1_to_obs_point_17_relative_position,P1_to_obs_point_18_relative_position,P1_to_obs_point_19_relative_position,P1_to_obs_point_20_relative_position,P1_to_obs_point_21_relative_position,P1_to_obs_point_22_relative_position,P1_to_obs_point_23_relative_position,P1_to_obs_point_24_relative_position,P1_to_obs_point_25_relative_position,P1_to_obs_point_26_relative_position,P1_to_obs_point_27_relative_position,P1_to_obs_point_28_relative_position,P1_to_obs_point_29_relative_position,P1_to_obs_point_30_relative_position,P1_to_obs_point_31_relative_position,P1_to_obs_point_32_relative_position,P1_to_obs_point_33_relative_position,P1_to_obs_point_34_relative_position,P1_to_obs_point_35_relative_position,P1_to_obs_point_36_relative_position,P1_to_obs_point_37_relative_position,P1_to_obs_point_38_relative_position,P1_to_obs_point_39_relative_position,P1_to_obs_point_40_relative_position,P1_to_obs_point_41_relative_position,P1_to_obs_point_42_relative_position,P1_to_obs_point_43_relative_position,P1_to_obs_point_44_relative_position,P1_to_obs_point_45_relative_position,P1_to_obs_point_46_relative_position,P1_to_obs_point_47_relative_position,P1_to_obs_point_48_relative_position,P1_to_obs_point_49_relative_position,P2_to_obs_point_0_relative_position,P2_to_obs_point_1_relative_position,P2_to_obs_point_2_relative_position,P2_to_obs_point_3_relative_position,P2_to_obs_point_4_relative_position,P2_to_obs_point_5_relative_position,P2_to_obs_point_6_relative_position,P2_to_obs_point_7_relative_position,P2_to_obs_point_8_relative_position,P2_to_obs_point_9_relative_position,P2_to_obs_point_10_relative_position,P2_to_obs_point_11_relative_position,P2_to_obs_point_12_relative_position,P2_to_obs_point_13_relative_position,P2_to_obs_point_14_relative_position,P2_to_obs_point_15_relative_position,P2_to_obs_point_16_relative_position,P2_to_obs_point_17_relative_position,P2_to_obs_point_18_relative_position,P2_to_obs_point_19_relative_position,P2_to_obs_point_20_relative_position,P2_to_obs_point_21_relative_position,P2_to_obs_point_22_relative_position,P2_to_obs_point_23_relative_position,P2_to_obs_point_24_relative_position,P2_to_obs_point_25_relative_position,P2_to_obs_point_26_relative_position,P2_to_obs_point_27_relative_position,P2_to_obs_point_28_relative_position,P2_to_obs_point_29_relative_position,P2_to_obs_point_30_relative_position,P2_to_obs_point_31_relative_position,P2_to_obs_point_32_relative_position,P2_to_obs_point_33_relative_position,P2_to_obs_point_34_relative_position,P2_to_obs_point_35_relative_position,P2_to_obs_point_36_relative_position,P2_to_obs_point_37_relative_position,P2_to_obs_point_38_relative_position,P2_to_obs_point_39_relative_position,P2_to_obs_point_40_relative_position,P2_to_obs_point_41_relative_position,P2_to_obs_point_42_relative_position,P2_to_obs_point_43_relative_position,P2_to_obs_point_44_relative_position,P2_to_obs_point_45_relative_position,P2_to_obs_point_46_relative_position,P2_to_obs_point_47_relative_position,P2_to_obs_point_48_relative_position,P2_to_obs_point_49_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(1, 0)","(31, 0)","(31, 1)","(31, -1)","(31, 2)","(31, -2)","(31, 3)","(31, -3)","(31, 4)","(31, -4)","(31, 5)","(31, -5)","(31, 6)","(31, -6)","(31, 7)","(31, -7)","(31, 8)","(31, -8)","(31, 9)","(31, -9)","(31, 10)","(31, -10)","(31, 11)","(31, -11)","(31, 12)","(31, -12)","(31, 13)","(31, -13)","(31, 14)","(31, -14)","(31, 15)","(31, -15)","(31, 16)","(31, -16)","(31, 17)","(31, -17)","(31, 18)","(31, -18)","(31, 19)","(31, -19)","(31, 20)","(31, -20)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(484, 48)","(483, 48)",1,4,200,10259
"(2, 0)","(32, 0)","(32, 1)","(32, -1)","(32, 2)","(32, -2)","(32, 3)","(32, -3)","(32, 4)","(32, -4)","(32, 5)","(32, -5)","(32, 6)","(32, -6)","(32, 7)","(32, -7)","(32, 8)","(32, -8)","(32, 9)","(32, -9)","(32, 10)","(32, -10)","(32, 11)","(32, -11)","(32, 12)","(32, -12)","(32, 13)","(32, -13)","(32, 14)","(32, -14)","(32, 15)","(32, -15)","(32, 16)","(32, -16)","(32, 17)","(32, -17)","(32, 18)","(32, -18)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(32, 19)","(32, -19)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(485, 48)","(483, 48)",1,4,200,10296
"(3, 0)","(33, 0)","(33, 1)","(33, -1)","(33, 2)","(33, -2)","(33, 3)","(33, -3)","(33, 4)","(33, -4)","(33, 5)","(33, -5)","(33, 6)","(33, -6)","(33, 7)","(33, -7)","(33, 8)","(33, -8)","(33, 9)","(33, -9)","(33, 10)","(33, -10)","(33, 11)","(33, -11)","(33, 12)","(33, -12)","(33, 13)","(33, -13)","(33, 14)","(33, -14)","(33, 15)","(33, -15)","(33, 16)","(33, -16)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(33, 17)","(33, -17)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(33, 18)","(33, -18)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(486, 48)","(483, 48)",1,4,200,10333
"(4, 0)","(34, 0)","(34, 1)","(34, -1)","(34, 2)","(34, -2)","(34, 3)","(34, -3)","(34, 4)","(34, -4)","(34, 5)","(34, -5)","(34, 6)","(34, -6)","(34, 7)","(34, -7)","(34, 8)","(34, -8)","(34, 9)","(34, -9)","(34, 10)","(34, -10)","(34, 11)","(34, -11)","(34, 12)","(34, -12)","(34, 13)","(34, -13)","(34, 14)","(34, -14)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(34, 15)","(34, -15)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(34, 16)","(34, -16)","(7, -37)","(-7, -37)","(8, -37)","(-8, -37)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(487, 48)","(483, 48)",1,4,200,10370
"(5, 0)","(35, 0)","(35, 1)","(35, -1)","(35, 2)","(35, -2)","(35, 3)","(35, -3)","(35, 4)","(35, -4)","(35, 5)","(35, -5)","(35, 6)","(35, -6)","(35, 7)","(35, -7)","(35, 8)","(35, -8)","(35, 9)","(35, -9)","(35, 10)","(35, -10)","(35, 11)","(35, -11)","(35, 12)","(35, -12)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(35, 13)","(35, -13)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(7, -37)","(-7, -37)","(35, 14)","(35, -14)","(8, -37)","(-8, -37)","(35, 15)","(35, -15)","(9, -37)","(-9, -37)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(488, 48)","(483, 48)",1,4,200,10407
"(6, 0)","(36, 0)","(36, 1)","(36, -1)","(36, 2)","(36, -2)","(36, 3)","(36, -3)","(36, 4)","(36, -4)","(36, 5)","(36, -5)","(36, 6)","(36, -6)","(36, 7)","(36, -7)","(36, 8)","(36, -8)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(36, 9)","(36, -9)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(36, 10)","(36, -10)","(6, -37)","(-6, -37)","(36, 11)","(36, -11)","(7, -37)","(-7, -37)","(8, -37)","(-8, -37)","(36, 12)","(36, -12)","(9, -37)","(-9, -37)","(36, 13)","(36, -13)","(10, -37)","(-10, -37)","(11, -37)","(-11, -37)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(489, 48)","(483, 48)",1,4,200,10444
"(7, 0)","(37, 0)","(0, -37)","(37, 1)","(37, -1)","(1, -37)","(-1, -37)","(37, 2)","(37, -2)","(2, -37)","(-2, -37)","(37, 3)","(37, -3)","(3, -37)","(-3, -37)","(37, 4)","(37, -4)","(4, -37)","(-4, -37)","(37, 5)","(37, -5)","(5, -37)","(-5, -37)","(37, 6)","(37, -6)","(6, -37)","(-6, -37)","(37, 7)","(37, -7)","(7, -37)","(-7, -37)","(37, 8)","(37, -8)","(8, -37)","(-8, -37)","(37, 9)","(37, -9)","(9, -37)","(-9, -37)","(37, 10)","(37, -10)","(10, -37)","(-10, -37)","(37, 11)","(37, -11)","(11, -37)","(-11, -37)","(37, 12)","(37, -12)","(12, -37)","(37, 13)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(490, 48)","(483, 48)",1,4,200,10481
"(8, 0)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(7, -37)","(-7, -37)","(8, -37)","(-8, -37)","(38, 0)","(38, 1)","(38, -1)","(38, 2)","(38, -2)","(9, -37)","(-9, -37)","(38, 3)","(38, -3)","(38, 4)","(38, -4)","(38, 5)","(38, -5)","(10, -37)","(-10, -37)","(38, 6)","(38, -6)","(11, -37)","(38, 7)","(38, -7)","(38, 8)","(38, -8)","(12, -37)","(38, 9)","(38, -9)","(13, -37)","(38, 10)","(38, -10)","(-10, -38)","(38, 11)","(38, -11)","(14, -37)","(38, 12)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(491, 48)","(483, 48)",1,4,200,10519
"(9, 0)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(7, -37)","(-7, -37)","(8, -37)","(-8, -37)","(9, -37)","(-9, -37)","(10, -37)","(11, -37)","(12, -37)","(39, 0)","(39, 1)","(39, -1)","(39, 2)","(39, -2)","(-9, -38)","(39, 3)","(39, -3)","(39, 4)","(39, -4)","(13, -37)","(39, 5)","(39, -5)","(39, 6)","(39, -6)","(14, -37)","(39, 7)","(39, -7)","(39, 8)","(39, -8)","(15, -37)","(39, 9)","(39, -9)","(-9, -39)","(39, 10)","(39, -10)","(16, -37)","(39, 11)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(492, 48)","(483, 48)",1,4,200,10556
"(10, 0)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(4, -37)","(-4, -37)","(5, -37)","(-5, -37)","(6, -37)","(-6, -37)","(7, -37)","(-7, -37)","(8, -37)","(-8, -37)","(9, -37)","(10, -37)","(11, -37)","(-8, -38)","(12, -37)","(13, -37)","(14, -37)","(-8, -39)","(15, -37)","(40, 0)","(40, 1)","(40, -1)","(40, 2)","(40, -2)","(40, 3)","(40, -3)","(40, 4)","(40, -4)","(40, 5)","(40, -5)","(16, -37)","(40, 6)","(40, -6)","(40, 7)","(40, -7)","(17, -37)","(40, 8)","(40, -8)","(-8, -40)","(40, 9)","(40, -9)","(18, -37)","(40, 10)","(30, 0)","(30, 1)","(30, -1)","(30, 2)","(30, -2)","(30, 3)","(30, -3)","(30, 4)","(30, -4)","(30, 5)","(30, -5)","(30, 6)","(30, -6)","(30, 7)","(30, -7)","(30, 8)","(30, -8)","(30, 9)","(30, -9)","(30, 10)","(30, -10)","(30, 11)","(30, -11)","(30, 12)","(30, -12)","(30, 13)","(30, -13)","(30, 14)","(30, -14)","(30, 15)","(30, -15)","(30, 16)","(30, -16)","(30, 17)","(30, -17)","(30, 18)","(30, -18)","(30, 19)","(30, -19)","(30, 20)","(30, -20)","(30, 21)","(30, -21)","(0, -37)","(1, -37)","(-1, -37)","(2, -37)","(-2, -37)","(3, -37)","(-3, -37)","(493, 48)","(483, 48)",1,4,200,10593
