P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
154,236,4,0,0,100,156,236,1,0,0,100,0,200
154,236,4,0,0,100,158,236,1,0,0,100,1069,200
154,236,4,0,0,100,158,238,2,0,0,100,2000,200
154,236,4,0,0,100,160,238,1,0,0,100,2071,200
154,236,4,0,0,100,158,238,0,0,0,100,2107,200
154,236,4,0,0,100,156,238,0,0,0,100,2321,200
154,238,3,0,0,100,156,238,4,0,0,100,2643,200
154,240,3,0,0,100,156,238,4,0,0,100,2679,200
154,242,3,0,0,100,156,238,4,0,0,100,2714,200
154,244,3,0,0,100,156,238,4,0,0,100,2750,200
154,246,3,0,0,100,156,238,4,0,0,100,2786,200
154,248,3,0,0,100,156,238,4,0,0,100,2821,200
154,250,3,0,0,100,156,238,4,0,0,100,2857,200
154,252,3,0,0,100,156,238,4,0,0,100,2893,200
154,254,3,0,0,100,156,238,4,0,0,100,2929,200
154,256,3,0,0,100,156,238,4,0,0,100,2964,200
154,258,3,0,0,100,156,238,4,0,0,100,3000,200
154,260,3,0,0,100,156,238,4,0,0,100,3036,200
154,262,3,0,0,100,156,238,4,0,0,100,3071,200
154,264,3,0,0,100,156,238,4,0,0,100,3107,200
154,266,3,0,0,100,156,238,4,0,0,100,3143,200
154,268,3,0,0,100,156,238,4,0,0,100,3179,200
154,270,3,0,0,100,156,238,4,0,0,100,3214,200
154,272,3,0,0,100,156,238,4,0,0,100,3250,200
154,274,3,0,0,100,156,238,4,0,0,100,3286,200
154,276,3,0,0,100,156,238,4,0,0,100,3321,200
154,278,3,0,0,100,156,238,4,0,0,100,3357,200
154,280,3,0,0,100,156,238,4,0,0,100,3393,200
154,282,3,0,0,100,156,238,4,0,0,100,3429,200
154,284,3,0,0,100,156,238,4,0,0,100,3464,200
154,286,3,0,0,100,156,238,4,0,0,100,3500,200
154,288,3,0,0,100,156,238,4,0,0,100,3536,200
154,290,3,0,0,100,156,240,2,0,0,100,3571,200
154,292,3,0,0,100,156,242,2,0,0,100,3607,200
154,294,3,0,0,100,156,244,2,0,0,100,3643,200
154,296,3,0,0,100,156,246,2,0,0,100,3679,200
154,298,3,0,0,100,156,248,2,0,0,100,3714,200
154,300,3,0,0,100,156,250,2,0,0,100,3750,200
154,302,3,0,0,100,156,252,2,0,0,100,3786,200
154,304,3,0,0,100,156,254,2,0,0,100,3821,200
154,306,3,0,0,100,156,256,2,0,0,100,3857,200
154,308,3,0,0,100,156,258,2,0,0,100,3893,200
154,310,3,0,0,100,156,260,2,0,0,100,3929,200
152,310,0,0,0,100,156,262,2,0,0,100,3964,200
150,310,0,0,0,100,156,262,4,0,0,100,4000,200
148,310,0,0,0,100,156,262,4,0,0,100,4036,200
146,310,0,0,0,100,156,262,4,0,0,100,4071,200
144,310,0,0,0,100,156,262,4,0,0,100,4107,200
142,310,0,0,0,100,156,262,4,0,0,100,4143,200
140,310,0,0,0,100,156,264,2,0,0,100,4179,200
138,310,0,0,0,100,156,266,2,0,0,100,4214,200
136,310,0,0,0,100,156,268,2,0,0,100,4250,200
134,310,0,0,0,100,156,270,2,0,0,100,4286,200
132,310,0,0,0,100,156,272,2,0,0,100,4321,200
130,310,0,0,0,100,156,272,4,0,0,100,4357,200
128,310,0,0,0,100,156,272,4,0,0,100,4393,200
126,310,0,0,0,100,156,272,4,0,0,100,4429,200
124,310,0,0,0,100,156,272,4,0,0,100,4464,200
122,310,0,0,0,100,156,272,4,0,0,100,4500,200
120,310,0,0,0,100,156,274,2,0,0,100,4536,200
118,310,0,0,0,100,156,276,2,0,0,100,4571,200
118,310,0,0,0,100,156,276,4,0,0,100,4607,200
116,310,0,0,0,100,156,278,2,0,0,100,4643,200
116,312,0,0,0,100,156,280,2,0,0,100,4679,200
114,312,0,0,0,100,154,280,0,0,0,100,4714,200
112,312,0,0,0,100,152,280,0,0,0,100,4750,200
110,312,0,0,0,100,150,280,0,0,0,100,4786,200
108,312,0,0,0,100,148,280,0,0,0,100,4821,200
106,312,0,0,0,100,146,280,0,0,0,100,4857,200
106,314,0,0,0,100,146,282,2,0,0,100,4893,200
104,314,0,0,0,100,144,282,0,0,0,100,4929,200
102,314,0,0,0,100,142,282,0,0,0,100,4964,200
100,314,0,0,0,100,140,282,0,0,0,100,5000,200
98,314,0,0,0,100,138,282,0,0,0,100,5038,200
96,314,0,0,0,100,136,282,0,0,0,100,5077,200
94,314,0,0,0,100,134,282,0,0,0,100,5115,200
92,314,0,0,0,100,132,282,0,0,0,100,5154,200
94,314,0,0,0,100,134,282,1,0,0,100,5192,200
92,314,0,0,0,100,132,282,0,0,0,100,5231,200
90,314,0,0,0,100,130,282,0,0,0,100,5269,200
90,314,0,0,0,100,130,282,4,0,0,100,5307,200
88,314,0,0,0,100,128,282,0,0,0,100,5346,200
86,314,0,0,0,100,126,282,0,0,0,100,5384,200
84,314,0,0,0,100,124,282,0,0,0,100,5423,200
86,314,0,0,0,100,126,282,1,0,0,100,5461,200
86,312,0,0,0,100,126,280,3,0,0,100,5500,200
86,314,0,0,0,100,126,282,2,0,0,100,5538,200
86,316,0,0,0,100,126,284,2,0,0,100,5576,200
84,316,0,0,0,100,124,284,0,0,0,100,5615,200
82,316,0,0,0,100,122,284,0,0,0,100,5653,200
80,316,0,0,0,100,120,284,0,0,0,100,5692,200
78,316,0,0,0,100,118,284,0,0,0,100,5730,200
76,316,0,0,0,100,116,284,0,0,0,100,5768,200
74,316,0,0,0,100,114,284,0,0,0,100,5807,200
72,316,0,0,0,100,112,284,0,0,0,100,5845,200
70,316,0,0,0,100,110,284,0,0,0,100,5884,200
70,316,0,0,0,100,110,284,4,0,0,100,5922,200
68,316,0,0,0,100,108,284,0,0,0,100,5961,200
66,316,0,0,0,100,106,284,0,0,0,100,5999,200
64,316,0,0,1,100,104,284,0,0,1,10100,12999,10200
