P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
205,256,4,0,0,100,207,256,1,0,0,100,1138,200
203,256,0,0,0,100,207,256,4,0,0,100,1448,200
201,256,0,0,0,100,207,256,4,0,0,100,1483,200
199,256,0,0,0,100,207,256,4,0,0,100,1517,200
197,256,0,0,0,100,207,256,4,0,0,100,1552,200
195,256,0,0,0,100,207,254,3,0,0,100,1586,200
193,256,0,0,0,100,207,254,4,0,0,100,1621,200
191,256,0,0,0,100,207,254,4,0,0,100,1655,200
189,256,0,0,0,100,207,254,4,0,0,100,1690,200
187,256,0,0,0,100,207,254,4,0,0,100,1724,200
185,256,0,0,0,100,207,254,4,0,0,100,1759,200
183,256,0,0,0,100,207,254,4,0,0,100,1793,200
181,256,0,0,0,100,207,254,4,0,0,100,1828,200
179,256,0,0,0,100,207,254,4,0,0,100,1862,200
177,256,0,0,0,100,207,254,4,0,0,100,1897,200
175,256,0,0,0,100,205,254,0,0,0,100,1931,200
173,256,0,0,0,100,205,254,4,0,0,100,1966,200
171,256,0,0,0,100,205,254,4,0,0,100,2000,200
169,256,0,0,0,100,205,254,4,0,0,100,2036,200
167,256,0,0,0,100,205,254,4,0,0,100,2071,200
165,256,0,0,0,100,205,254,4,0,0,100,2107,200
163,256,0,0,0,100,205,254,4,0,0,100,2143,200
161,256,0,0,0,100,205,254,4,0,0,100,2179,200
159,256,0,0,0,100,205,254,4,0,0,100,2214,200
157,256,0,0,0,100,205,254,4,0,0,100,2250,200
155,256,0,0,0,100,205,252,3,0,0,100,2286,200
153,256,0,0,0,100,203,252,0,0,0,100,2321,200
155,256,0,0,0,100,205,252,1,0,0,100,2357,200
153,256,0,0,0,100,203,252,0,0,0,100,2393,200
153,256,0,0,0,100,203,252,4,0,0,100,2429,200
151,256,0,0,0,100,201,252,0,0,0,100,2464,200
149,256,0,0,0,100,199,252,0,0,0,100,2500,200
147,256,0,0,0,100,197,252,0,0,0,100,2536,200
145,256,0,0,0,100,195,252,0,0,0,100,2571,200
143,256,0,0,0,100,193,252,0,0,0,100,2607,200
141,256,0,0,0,100,191,252,0,0,0,100,2643,200
139,256,0,0,0,100,189,252,0,0,0,100,2679,200
137,256,0,0,0,100,187,252,0,0,0,100,2714,200
135,256,0,0,0,100,185,252,0,0,0,100,2750,200
133,256,0,0,0,100,183,252,0,0,0,100,2786,200
131,256,0,0,0,100,181,252,0,0,0,100,2821,200
129,256,0,0,0,100,179,252,0,0,0,100,2857,200
127,256,0,0,0,100,177,252,0,0,0,100,2893,200
125,256,0,0,0,100,175,252,0,0,0,100,2929,200
123,256,0,0,0,100,173,252,0,0,0,100,2964,200
121,256,0,0,0,100,171,252,0,0,0,100,3000,200
119,256,0,0,0,100,169,252,0,0,0,100,3036,200
119,254,0,0,0,100,169,250,3,0,0,100,3071,200
117,254,0,0,0,100,167,250,0,0,0,100,3107,200
115,254,0,0,0,100,165,250,0,0,0,100,3143,200
113,254,0,0,0,100,163,250,0,0,0,100,3179,200
111,254,0,0,0,100,161,250,0,0,0,100,3214,200
109,254,0,0,0,100,159,250,0,0,0,100,3250,200
107,254,0,0,0,100,157,250,0,0,0,100,3286,200
105,254,0,0,0,100,155,250,0,0,0,100,3321,200
103,254,0,0,0,100,153,250,0,0,0,100,3357,200
105,254,0,0,0,100,155,250,1,0,0,100,3393,200
103,254,0,0,0,100,153,250,0,0,0,100,3429,200
101,254,0,0,0,100,151,250,0,0,0,100,3464,200
99,254,0,0,0,100,149,250,0,0,0,100,3500,200
97,254,0,0,0,100,147,250,0,0,0,100,3536,200
95,254,0,0,0,100,145,250,0,0,0,100,3571,200
93,254,0,0,0,100,143,250,0,0,0,100,3607,200
93,256,0,0,0,100,143,252,2,0,0,100,3643,200
91,256,0,0,0,100,141,252,0,0,0,100,3679,200
91,258,0,0,0,100,141,254,2,0,0,100,3714,200
89,258,0,0,0,100,139,254,0,0,0,100,3750,200
87,258,0,0,0,100,137,254,0,0,0,100,3786,200
85,258,0,0,0,100,135,254,0,0,0,100,3821,200
83,258,0,0,0,100,133,254,0,0,0,100,3857,200
81,258,0,0,0,100,131,254,0,0,0,100,3893,200
79,258,0,0,0,100,129,254,0,0,0,100,3929,200
77,258,0,0,0,100,127,254,0,0,0,100,3964,200
75,258,0,0,0,100,125,254,0,0,0,100,4000,200
