P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
149,186,4,0,0,100,149,188,2,0,0,100,14:27:43,179,200
149,186,4,0,0,100,149,186,3,0,0,100,14:27:43,357,200
149,184,2,0,0,100,149,186,4,0,0,100,14:27:43,893,200
149,182,2,0,0,100,149,186,4,0,0,100,14:27:43,929,200
149,180,2,0,0,100,149,186,4,0,0,100,14:27:43,964,200
149,178,2,0,0,100,149,186,4,0,0,100,14:27:44,1000,200
149,176,2,0,0,100,149,186,4,0,0,100,14:27:44,1034,200
149,174,2,0,0,100,149,186,4,0,0,100,14:27:44,1069,200
149,172,2,0,0,100,149,186,4,0,0,100,14:27:44,1103,200
149,170,2,0,0,100,151,186,1,0,0,100,14:27:44,1138,200
149,168,2,0,0,100,149,186,0,0,0,100,14:27:44,1172,200
149,166,2,0,0,100,149,186,4,0,0,100,14:27:44,1207,200
149,164,2,0,0,100,149,186,4,0,0,100,14:27:44,1241,200
149,162,2,0,0,100,149,186,4,0,0,100,14:27:44,1276,200
149,160,2,0,0,100,149,186,4,0,0,100,14:27:44,1310,200
149,158,2,0,0,100,149,186,4,0,0,100,14:27:44,1345,200
149,156,2,0,0,100,149,186,4,0,0,100,14:27:44,1379,200
149,154,2,0,0,100,149,186,4,0,0,100,14:27:44,1414,200
149,152,2,0,0,100,149,186,4,0,0,100,14:27:44,1448,200
149,150,2,0,0,100,149,186,4,0,0,100,14:27:44,1483,200
149,148,2,0,0,100,149,186,4,0,0,100,14:27:44,1517,200
149,146,2,0,0,100,149,186,4,0,0,100,14:27:44,1552,200
149,144,2,0,0,100,149,186,4,0,0,100,14:27:44,1586,200
149,142,2,0,0,100,149,186,4,0,0,100,14:27:44,1621,200
149,140,2,0,0,100,151,186,1,0,0,100,14:27:44,1655,200
149,138,2,0,0,100,151,186,4,0,0,100,14:27:44,1690,200
149,136,2,0,0,100,151,186,4,0,0,100,14:27:44,1724,200
149,134,2,0,0,100,151,184,3,0,0,100,14:27:44,1759,200
149,132,2,0,0,100,151,182,3,0,0,100,14:27:44,1793,200
147,132,2,0,0,100,149,182,0,0,0,100,14:27:44,1828,200
147,130,2,0,0,100,149,180,3,0,0,100,14:27:44,1862,200
147,128,2,0,0,100,149,178,3,0,0,100,14:27:44,1897,200
147,126,2,0,0,100,149,176,3,0,0,100,14:27:44,1931,200
147,124,2,0,0,100,149,174,3,0,0,100,14:27:44,1966,200
147,122,2,0,0,100,149,172,3,0,0,100,14:27:45,2000,200
147,120,2,0,0,100,149,170,3,0,0,100,14:27:45,2036,200
147,118,2,0,0,100,149,168,3,0,0,100,14:27:45,2071,200
147,116,2,0,0,100,149,166,3,0,0,100,14:27:45,2107,200
147,114,2,0,0,100,149,164,3,0,0,100,14:27:45,2143,200
147,112,2,0,0,100,149,162,3,0,0,100,14:27:45,2179,200
145,112,2,0,0,100,147,162,0,0,0,100,14:27:45,2214,200
145,110,2,0,0,100,147,160,3,0,0,100,14:27:45,2250,200
145,108,2,0,0,100,147,158,3,0,0,100,14:27:45,2286,200
145,106,2,0,0,100,147,156,3,0,0,100,14:27:45,2321,200
145,104,2,0,0,100,147,154,3,0,0,100,14:27:45,2357,200
145,102,2,0,0,100,147,152,3,0,0,100,14:27:45,2393,200
145,100,2,0,0,100,147,150,3,0,0,100,14:27:45,2429,200
145,98,2,0,0,100,147,148,3,0,0,100,14:27:45,2464,200
145,96,2,0,0,100,147,146,3,0,0,100,14:27:45,2500,200
145,94,2,0,0,100,147,144,3,0,0,100,14:27:45,2536,200
145,92,2,0,0,100,147,142,3,0,0,100,14:27:45,2571,200
145,90,2,0,0,100,147,140,3,0,0,100,14:27:45,2607,200
145,88,2,0,0,100,147,138,3,0,0,100,14:27:45,2643,200
145,86,2,0,0,100,147,136,3,0,0,100,14:27:45,2679,200
145,84,2,0,0,100,147,134,3,0,0,100,14:27:45,2714,200
145,82,2,0,0,100,147,132,3,0,0,100,14:27:45,2750,200
145,80,2,0,0,100,147,130,3,0,0,100,14:27:45,2786,200
145,78,2,0,0,100,147,128,3,0,0,100,14:27:45,2821,200
145,76,2,0,0,100,147,126,3,0,0,100,14:27:45,2857,200
145,74,2,0,0,100,147,124,3,0,0,100,14:27:45,2893,200
145,72,2,0,0,100,147,122,3,0,0,100,14:27:45,2929,200
