P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
108,196,4,0,0,100,108,198,2,0,0,100,1172,200
108,196,4,0,0,100,110,198,1,0,0,100,1207,200
108,196,4,0,0,100,108,198,0,0,0,100,1276,200
108,196,4,0,0,100,110,198,1,0,0,100,1621,200
108,196,4,0,0,100,108,198,0,0,0,100,1759,200
108,196,4,0,0,100,110,198,1,0,0,100,2071,200
110,196,1,0,0,100,110,198,4,0,0,100,2107,200
112,196,1,0,0,100,110,198,4,0,0,100,2143,200
114,196,1,0,0,100,110,198,4,0,0,100,2179,200
116,196,1,0,0,100,110,198,4,0,0,100,2214,200
118,196,1,0,0,100,110,198,4,0,0,100,2250,200
120,196,1,0,0,100,110,198,4,0,0,100,2286,200
122,196,1,0,0,100,110,198,4,0,0,100,2321,200
124,196,1,0,0,100,110,198,4,0,0,100,2357,200
126,196,1,0,0,100,110,198,4,0,0,100,2393,200
128,196,1,0,0,100,110,198,4,0,0,100,2429,200
130,196,1,0,0,100,108,198,0,0,0,100,2464,200
132,196,1,0,0,100,108,198,4,0,0,100,2500,200
134,196,1,0,0,100,108,198,4,0,0,100,2536,200
136,196,1,0,0,100,108,198,4,0,0,100,2571,200
138,196,1,0,0,100,108,198,4,0,0,100,2607,200
140,196,1,0,0,100,108,198,4,0,0,100,2643,200
142,196,1,0,0,100,108,198,4,0,0,100,2679,200
144,196,1,0,0,100,108,198,4,0,0,100,2714,200
146,196,1,0,0,100,108,198,4,0,0,100,2750,200
148,196,1,0,0,100,108,198,4,0,0,100,2786,200
150,196,1,0,0,100,108,198,4,0,0,100,2821,200
152,196,1,0,0,100,108,198,4,0,0,100,2857,200
154,196,1,0,0,100,108,198,4,0,0,100,2893,200
156,196,1,0,0,100,108,198,4,0,0,100,2929,200
158,196,1,0,0,100,108,196,3,0,0,100,2964,200
160,196,1,0,0,100,110,196,1,0,0,100,3000,200
160,198,1,0,0,100,110,198,2,0,0,100,3034,200
162,198,1,0,0,100,112,198,1,0,0,100,3069,200
164,198,1,0,0,100,114,198,1,0,0,100,3103,200
164,196,1,0,0,100,114,196,3,0,0,100,3138,200
166,196,1,0,0,100,116,196,1,0,0,100,3172,200
168,196,1,0,0,100,118,196,1,0,0,100,3207,200
170,196,1,0,0,100,120,196,1,0,0,100,3241,200
172,196,1,0,0,100,122,196,1,0,0,100,3276,200
174,196,1,0,0,100,124,196,1,0,0,100,3310,200
174,196,1,0,0,100,124,196,4,0,0,100,3345,200
176,196,1,0,0,100,126,196,1,0,0,100,3379,200
178,196,1,0,0,100,128,196,1,0,0,100,3414,200
180,196,1,0,0,100,130,196,1,0,0,100,3448,200
182,196,1,0,0,100,132,196,1,0,0,100,3483,200
184,196,1,0,0,100,134,196,1,0,0,100,3517,200
184,198,1,0,0,100,134,198,2,0,0,100,3552,200
184,198,1,0,0,100,134,198,4,0,0,100,3586,200
186,198,1,0,0,100,136,198,1,0,0,100,3621,200
188,198,1,0,0,100,138,198,1,0,0,100,3655,200
188,198,1,0,0,100,138,198,4,0,0,100,3690,200
190,198,1,0,0,100,140,198,1,0,0,100,3724,200
192,198,1,0,0,100,142,198,1,0,0,100,3759,200
192,200,3,0,0,100,144,198,1,0,0,100,3793,200
