P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
1.0,33.83784863137726,155.15798400340216,157.0,160.55217220579732,216.00462958001617,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,218.58865478336244,219.27608168699112,8214
2.0,34.17601498127012,155.11608556174951,157.0,160.11246047700348,215.11159894343214,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,217.90364843205356,219.27608168699112,8250
3.0,34.539832078341085,155.08062419270823,157.0,159.67780058605516,214.21951358361358,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,217.22108553268947,219.27608168699112,8286
4.0,34.92849839314596,155.05160431288675,157.0,159.24823389915505,213.32838535928593,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,216.54098919142305,219.27608168699112,8321
5.0,35.34119409414458,155.0290295396317,157.0,158.8238017426859,212.43822631532208,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,215.8633827215723,219.27608168699112,8357
6.0,35.77708763999664,155.0129026887762,157.0,158.40454538932903,211.5490486861144,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,215.18828964420902,219.27608168699112,8393
7.0,36.235341863986875,155.00322577288512,157.0,157.99050604387594,210.6608648990125,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,214.51573368869705,219.27608168699112,8429
8.0,36.71511950137164,155.0,157.0,157.58172482873766,209.77368757782756,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,213.84573879317773,219.27608168699112,8464
9.0,37.21558813185679,155.0,157.0,157.17824276915684,208.88752954640447,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,213.17832910500073,219.27608168699112,8500
10.0,37.73592452822641,155.0,156.7801007781281,157.0,208.00240383226344,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,212.51352898109803,219.27608168699112,8536
11.0,38.27531841800928,155.0,156.3873396410336,157.0,207.1183236703117,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,211.85136298829894,219.27608168699112,8571
12.0,38.8329756778952,155.0,156.0,157.0,206.23530250662714,33.52610922848042,155.2063143045411,157.0,160.99689437998487,216.0,211.19185590358356,219.27608168699112,8607
