P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,10.0,11.0,29.0,35.0,39.0,10.63014581273465,11.0,29.0,34.0,39.0,391.817559586091,392.7467377331096,4,0,200,10556
2.0,10.0,11.0,29.0,35.0,39.0,11.0,11.313708498984761,29.0,33.0,39.0,391.817559586091,393.6762629369467,4,0,200,10593
3.0,10.0,11.0,29.0,35.0,39.0,11.0,12.041594578792296,29.0,32.0,39.0,391.817559586091,394.60613274504493,4,0,200,10630
4.0,10.0,11.0,29.0,35.0,39.0,11.0,12.806248474865697,29.0,31.0,39.0,391.817559586091,395.5363447270048,4,0,200,10667
5.0,10.0,11.0,29.0,35.0,39.0,11.0,13.601470508735444,29.0,30.0,39.0,391.817559586091,396.46689647434624,4,0,200,10704
6.0,10.0,11.0,29.0,35.0,39.0,11.0,14.422205101855956,29.0,29.0,39.0,391.817559586091,397.3977856002723,4,0,200,10741
7.0,10.0,11.0,29.0,35.0,39.0,11.0,15.264337522473747,28.0,29.0,39.0,391.817559586091,398.3290097394364,4,0,200,10778
8.0,10.0,11.0,29.0,35.0,39.0,11.0,16.1245154965971,27.0,29.0,39.0,391.817559586091,399.2605665477121,4,0,200,10815
9.0,10.0,11.0,29.0,35.0,39.0,11.0,17.0,26.0,29.0,39.0,391.817559586091,400.19245370196575,4,0,200,10852
10.0,10.0,11.0,29.0,35.0,39.0,11.0,17.88854381999832,25.0,29.0,39.0,391.817559586091,401.1246688998322,4,0,200,10889
11.0,10.0,11.0,29.0,35.0,39.0,11.0,18.788294228055936,24.0,29.0,39.0,391.817559586091,402.0572098594925,4,0,200,10926
12.0,10.0,11.0,29.0,35.0,39.0,11.0,19.697715603592208,23.0,29.0,39.0,391.817559586091,402.9900743194552,4,0,200,10963
13.0,10.0,11.0,29.0,35.0,39.0,11.0,20.615528128088304,22.0,29.0,39.01281840626232,391.817559586091,403.92326003833944,4,0,200,11000
14.0,10.0,11.0,29.0,35.0,39.0,11.0,21.0,21.540659228538015,29.0,39.05124837953327,391.817559586091,404.8567647946617,4,0,200,11059
15.0,10.0,11.0,29.0,35.0,39.0,11.0,20.0,22.47220505424423,29.0,39.11521443121589,391.817559586091,405.79058638662383,4,0,200,11118
16.0,10.0,11.0,29.0,35.0,39.0,11.0,19.0,23.40939982143925,29.0,39.20459156782532,391.817559586091,406.7247226319049,4,0,200,11176
17.0,10.0,11.0,29.0,35.0,39.0,11.0,18.0,24.351591323771842,29.0,39.319206502675,391.817559586091,407.659171367455,4,0,200,11235
18.0,10.0,11.0,29.0,35.0,39.0,11.0,17.0,25.298221281347036,29.0,39.45883931389772,391.817559586091,408.59393044929095,4,0,200,11294
19.0,10.0,11.0,29.0,35.0,39.0,11.0,16.0,26.248809496813376,29.0,39.6232255123179,391.817559586091,409.52899775229594,4,0,200,11353
20.0,10.0,11.0,29.0,35.0,39.0,11.0,15.0,27.202941017470888,29.0,39.81205847478876,391.817559586091,410.46437117002006,4,0,200,11411
21.0,10.0,11.0,29.0,35.0,39.0,11.0,14.0,28.160255680657446,29.0,40.024992192379,391.817559586091,411.40004861448426,4,0,200,11470
22.0,10.0,11.0,29.0,35.0,39.0,11.0,13.0,29.0,29.120439557122072,40.26164427839479,391.817559586091,412.336028015986,4,0,200,11529
23.0,10.0,11.0,29.0,35.0,39.0,11.0,12.0,29.0,30.083217912982647,40.52159917870962,391.817559586091,413.27230732290786,4,0,200,11588
24.0,10.0,11.0,29.0,35.0,39.0,11.0,11.0,29.0,31.04834939252005,40.80441152620633,391.817559586091,414.2088845015278,4,0,200,11646
25.0,10.0,11.0,29.0,35.0,39.0,10.0,11.0,29.0,32.01562118716424,41.10960958218893,391.817559586091,415.1457575358322,4,0,200,11705
26.0,10.0,11.0,29.0,35.0,39.0,9.0,11.0,29.0,32.984845004941285,41.43669871020132,391.817559586091,416.08292442733097,4,0,200,11764
27.0,10.0,11.0,29.0,35.0,39.0,8.0,11.0,29.0,33.95585369269929,41.78516483155236,391.817559586091,417.02038319487457,4,0,200,11823
28.0,10.0,11.0,29.0,35.0,39.0,7.0,11.0,29.0,34.92849839314596,42.15447781671598,391.817559586091,417.95813187447374,4,0,200,11881
29.0,10.0,11.0,29.0,35.0,39.0,6.0,11.0,29.0,35.90264614203248,42.5440947723653,391.817559586091,418.8961685191212,4,0,200,11940
29.0,10.0,11.0,29.0,35.0,39.0,6.0,11.0,29.0,35.90264614203248,42.5440947723653,391.817559586091,418.8961685191212,4,0,-99800,13999
