P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
1.0,44.64302857109943,73.824115301167,96.42613753542138,103.0,111.40017953306898,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,32.01562118716424,32.802438933713454,2357
2.0,45.60701700396552,74.73285756613352,97.18538984847466,104.0,112.0044641967453,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,31.240998703626616,32.802438933713454,2393
3.0,46.57252408878007,75.64390259630977,97.94896630388705,105.0,112.61438629233834,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,30.479501308256342,32.802438933713454,2429
4.0,47.53945729601885,76.55716818169282,98.71676655968832,106.0,113.22985472038724,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,29.732137494637012,32.802438933713454,2464
5.0,48.507731342539614,77.47257579298626,99.48869282486326,107.0,113.85077953180645,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,29.0,32.802438933713454,2500
6.0,49.47726750741192,78.39005038906404,100.26464980241042,108.0,114.47707194019246,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,28.284271247461902,32.802438933713454,2536
7.0,50.44799302251776,79.30952023559341,101.04454463255303,109.0,115.10864433221339,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,27.586228448267445,32.802438933713454,2571
8.0,51.419840528729765,80.23091673413684,101.82828683622247,110.0,115.74541027617467,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,26.90724809414742,32.802438933713454,2607
9.0,52.392747589718944,81.15417426109393,102.61578825892242,111.0,116.3872845288522,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,26.248809496813376,32.802438933713454,2643
10.0,53.36665625650534,82.0792300158816,103.40696301506973,112.0,116.84605256490268,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,25.612496949731394,32.802438933713454,2679
11.0,54.3415126767741,83.00602387778854,104.20172743289815,113.0,116.10340218959993,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,25.0,32.802438933713454,2714
12.0,55.31726674375732,83.93449827097318,105.0,114.0,115.36463929644994,43.68065933568311,72.91776189653656,95.67131231461184,102.0,110.80162453682708,24.413111231467404,32.802438933713454,2750
