P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,27.16615541441225,35.0,55.0,57.0,71.16881339463234,26.1725046566048,34.0,55.0,57.0,71.47027354082255,387.49451609022805,388.4906691286163,3,4,200,6786
2.0,28.160255680657446,36.0,55.0,57.0,70.8801805866774,26.1725046566048,34.0,55.0,57.0,71.47027354082255,386.49838292029114,388.4906691286163,3,4,200,6821
3.0,29.154759474226502,37.0,55.0,57.0,70.60453243241541,26.1725046566048,34.0,55.0,57.0,71.47027354082255,385.50226977282506,388.4906691286163,3,4,200,6857
4.0,30.14962686336267,38.0,55.0,57.0,70.3420215802759,26.1725046566048,34.0,55.0,57.0,71.47027354082255,384.50617680344226,388.4906691286163,3,4,200,6893
5.0,31.144823004794873,39.0,55.0,57.0,70.09279563550022,26.1725046566048,34.0,55.0,57.0,71.47027354082255,383.5101041693687,388.4906691286163,3,4,200,6929
6.0,32.14031735997639,40.0,55.0,57.0,69.85699678629192,26.1725046566048,34.0,55.0,57.0,71.47027354082255,382.51405202946466,388.4906691286163,3,4,200,6964
7.0,33.13608305156178,41.0,55.0,57.0,69.63476143421474,26.1725046566048,34.0,55.0,57.0,71.47027354082255,381.5180205442464,388.4906691286163,3,4,200,7000
8.0,34.132096331752024,42.0,55.0,57.0,69.42621983083913,26.1725046566048,34.0,55.0,57.0,71.47027354082255,380.5220098759072,388.4906691286163,3,4,200,7037
9.0,35.12833614050059,43.0,55.0,57.0,69.2314957226839,26.1725046566048,34.0,55.0,57.0,71.47027354082255,379.52602018833966,388.4906691286163,3,4,200,7074
10.0,36.124783736376884,44.0,55.0,57.0,69.05070600652827,26.1725046566048,34.0,55.0,57.0,71.47027354082255,378.53005164715785,388.4906691286163,3,4,200,7111
11.0,37.12142238654117,45.0,55.0,57.0,68.8839603971781,26.1725046566048,34.0,55.0,57.0,71.47027354082255,377.53410441971994,388.4906691286163,3,4,200,7148
12.0,38.118237105091836,46.0,55.0,57.0,68.73136110975832,26.1725046566048,34.0,55.0,57.0,71.47027354082255,376.5381786751511,388.4906691286163,3,4,200,7185
13.0,39.11521443121589,47.0,55.0,57.0,68.59300255857006,26.1725046566048,34.0,55.0,57.0,71.47027354082255,375.54227458436685,388.4906691286163,3,4,200,7222
14.0,40.11234224026316,48.0,55.0,57.0,68.46897107449476,26.1725046566048,34.0,55.0,57.0,71.47027354082255,374.54639232009697,388.4906691286163,3,4,200,7259
15.0,41.10960958218893,49.0,55.0,57.0,68.3593446428504,26.1725046566048,34.0,55.0,57.0,71.47027354082255,373.5505320569093,388.4906691286163,3,4,200,7296
16.0,42.1070065428546,50.0,55.0,57.0,68.26419266350405,26.1725046566048,34.0,55.0,57.0,71.47027354082255,372.55469397123426,388.4906691286163,3,4,200,7333
17.0,43.104524124504614,51.0,55.0,57.0,68.18357573492314,26.1725046566048,34.0,55.0,57.0,71.47027354082255,371.5588782413899,388.4906691286163,3,4,200,7370
18.0,44.10215414239989,52.0,55.0,57.0,68.11754546370561,26.1725046566048,34.0,55.0,57.0,71.47027354082255,370.563085047607,388.4906691286163,3,4,200,7407
