P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,8.0,39.293765408777,73.54590403278758,111.07204868912791,111.68258592994702,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,403.44764220404113,402.67729014683704,0,4,200,13931
2.0,8.0,39.05124837953327,73.7563556583431,111.97321108193691,112.0714058089752,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,404.2190000482412,402.67729014683704,0,4,200,13966
3.0,8.0,38.8329756778952,73.97972695272672,112.27199116431488,113.07077429645558,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,404.99135793248723,402.67729014683704,0,4,200,14000
4.0,8.0,38.63935817272331,74.21590126111789,112.57886124845996,114.0701538527936,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,405.7647101461634,402.67729014683704,0,4,200,14036
5.0,8.0,38.47076812334269,74.46475676452586,112.89375536317321,115.06954418958998,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,406.5390510147826,402.67729014683704,0,4,200,14071
6.0,8.0,38.3275357934736,74.72616676907762,113.21660655575224,116.06894502837527,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,407.3143748997818,402.67729014683704,0,4,200,14107
7.0,8.0,38.2099463490856,75.0,113.54734695271397,117.06835610018618,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,408.09067619831745,402.67729014683704,0,4,200,14143
8.0,8.0,38.118237105091836,75.28612089887484,113.8859078200635,118.06777714516353,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,408.8679493430611,402.67729014683704,0,4,200,14179
9.0,8.0,38.05259518088089,75.58438992278762,114.23221962301179,119.06720791217035,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,409.6461888019953,402.67729014683704,0,4,200,14214
10.0,8.0,38.01315561749642,75.8946638440411,114.58621208504974,120.06664815842908,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,410.42538907820995,402.67729014683704,0,4,200,14250
11.0,8.0,38.0,76.21679604916491,114.94781424629178,121.06609764917675,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,411.2055447096987,402.67729014683704,0,4,200,14286
12.0,8.0,38.0,76.55063683601855,115.31695452100702,122.06555615733703,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,411.9866502691562,402.67729014683704,0,4,200,14321
13.0,8.0,38.0,76.89603370785778,115.69356075426151,123.06502346320826,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,412.76870036377517,402.67729014683704,0,4,200,14357
14.0,8.0,38.0,77.25283166331187,116.0775602776006,124.06449935416659,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,413.5516896350443,402.67729014683704,0,4,200,14393
15.0,8.0,38.0,77.62087348130012,116.46887996370532,125.06398362438324,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,414.33561275854623,402.67729014683704,0,4,200,14429
16.0,8.0,38.0,78.0,116.86744627996283,126.0634760745554,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,415.12046444375636,402.67729014683704,0,4,200,14464
17.0,8.0,38.0,78.39005038906404,117.27318534089538,127.06297651164952,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,415.9062394338416,402.67729014683704,0,4,200,14500
18.0,8.0,38.0,78.79086241436883,117.6860229593982,128.06248474865697,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,416.6929325054602,402.67729014683704,0,4,200,14536
19.0,8.0,38.0,79.20227269466452,118.10588469674151,129.0620006043607,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,417.4805384685614,402.67729014683704,0,4,200,14571
20.0,8.0,38.0,79.62411694957753,118.53269591129698,130.06152390311286,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,418.26905216618644,402.67729014683704,0,4,200,14607
21.0,8.0,38.0,80.05623023850174,118.9663818059539,131.06105447462264,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,419.0584684742691,402.67729014683704,0,4,200,14643
22.0,8.0,38.0,80.49844718999243,119.40686747419514,132.06059215375342,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,419.84878230143767,402.67729014683704,0,4,200,14679
23.0,8.0,38.0,80.95060222135473,119.85407794480753,133.06013678032951,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,420.6399885888169,402.67729014683704,0,4,200,14714
24.0,8.0,38.0,81.41252974819048,120.30793822520607,134.05968819895114,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,421.4320823098308,402.67729014683704,0,4,200,14750
25.0,8.0,38.0,81.88406438373708,120.7683733433551,135.05924625881784,8.0,39.56008088970496,73.348483283569,110.07270324653611,111.40017953306898,422.225058470006,402.67729014683704,0,4,200,14786
