P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,127,108,4,0,0
127,108,4,0,0,128,108,1,0,0
127,108,4,0,0,129,108,1,0,0
127,108,4,0,0,130,108,1,0,0
127,108,4,0,0,131,108,1,0,0
127,108,4,0,0,132,108,1,0,0
127,108,4,0,0,133,108,1,0,0
127,108,4,0,0,134,108,1,0,0
127,108,4,0,0,135,108,1,0,0
127,108,4,0,0,136,108,1,0,0
127,108,4,0,0,137,108,1,0,0
127,108,4,0,0,138,108,1,0,0
127,108,4,0,0,139,108,1,0,0
127,108,4,0,0,140,108,1,0,0
127,108,4,0,0,141,108,1,0,0
127,108,4,0,0,142,108,1,0,0
127,108,4,0,0,143,108,1,0,0
127,108,4,0,0,144,108,1,0,0
127,108,4,0,0,145,108,1,0,0
127,108,4,0,0,146,108,1,0,0
127,108,4,0,0,147,108,1,0,0
127,108,4,0,0,148,108,1,0,0
127,108,4,0,0,149,108,1,0,0
127,108,4,0,0,150,108,1,0,0
127,108,4,0,0,151,108,1,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
127,108,4,0,0,151,108,4,0,0
126,108,0,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
126,108,4,0,0,151,108,4,0,0
125,108,0,0,0,151,108,4,0,0
124,108,0,0,0,151,108,4,0,0
123,108,0,0,0,151,108,4,0,0
122,108,0,0,0,151,108,4,0,0
121,108,0,0,0,151,108,4,0,0
120,108,0,0,0,151,108,4,0,0
119,108,0,0,0,151,108,4,0,0
118,108,0,0,0,151,108,4,0,0
117,108,0,0,0,151,108,4,0,0
116,108,0,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
116,108,4,0,0,151,108,4,0,0
117,108,1,0,0,151,108,4,0,0
118,108,1,0,0,151,108,4,0,0
119,108,1,0,0,151,108,4,0,0
120,108,1,0,0,151,108,4,0,0
121,108,1,0,0,151,108,4,0,0
122,108,1,0,0,151,108,4,0,0
123,108,1,0,0,151,108,4,0,0
124,108,1,0,0,151,108,4,0,0
125,108,1,0,0,151,108,4,0,0
126,108,1,0,0,151,108,4,0,0
127,108,1,0,0,151,108,4,0,0
128,108,1,0,0,151,108,4,0,0
129,108,1,0,0,151,108,4,0,0
