P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
363,242,4,0,0,100,363,244,2,0,0,100,14:57:25,769,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
363,242,4,0,0,100,363,242,3,0,0,100,14:57:26,1000,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
363,242,4,0,0,100,363,244,2,0,0,100,14:57:26,1214,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
361,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1536,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
359,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1571,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
357,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1607,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
355,242,0,0,0,100,363,242,3,0,0,100,14:57:26,1643,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
353,242,0,0,0,100,363,242,4,0,0,100,14:57:26,1679,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
351,242,0,0,0,100,363,242,4,0,0,100,14:57:26,1714,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
349,242,0,0,0,100,363,242,4,0,0,100,14:57:26,1750,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
347,242,0,0,0,100,363,242,4,0,0,100,14:57:26,1786,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
345,242,0,0,0,100,363,242,4,0,0,100,14:57:26,1821,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
343,242,0,0,0,100,363,244,2,0,0,100,14:57:26,1857,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
341,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1893,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
339,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1929,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
337,242,0,0,0,100,363,244,4,0,0,100,14:57:26,1964,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
335,242,0,0,0,100,363,244,4,0,0,100,14:57:27,2000,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
333,242,0,0,0,100,363,244,4,0,0,100,14:57:27,2034,200,206,163,137,192,45,65,229,234,42,54,336,141,31,41,34,9,37,83,310,136,56,34,216,17,45,33
