P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
354,269,4,0,0,100,356,269,1,0,0,100,14:52:00,1172,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
354,269,4,0,0,100,354,269,0,0,0,100,14:52:00,1724,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
354,269,4,0,0,100,356,269,1,0,0,100,14:52:01,2036,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
354,269,4,0,0,100,356,271,2,0,0,100,14:52:01,2107,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
356,269,1,0,0,100,356,271,4,0,0,100,14:52:01,2179,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
358,269,1,0,0,100,358,271,1,0,0,100,14:52:01,2214,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
360,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2250,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
362,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2286,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
364,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2321,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
366,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2357,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
368,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2393,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
370,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2429,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
372,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2464,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
374,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2500,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
376,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2536,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
378,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2571,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
380,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2607,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
382,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2643,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
384,269,1,0,0,100,358,271,4,0,0,100,14:52:01,2679,200,264,58,40,68,35,99,111,135,71,54,61,117,42,59,240,141,99,79,233,127,64,30,71,257,73,39
