P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
349,247,3,0,0,100,353,197,2,0,0,100,14:38:58,2552,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,249,3,0,0,100,353,199,2,0,0,100,14:38:58,2586,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,251,3,0,0,100,353,201,2,0,0,100,14:38:58,2621,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,253,3,0,0,100,353,203,2,0,0,100,14:38:58,2655,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,255,3,0,0,100,353,205,2,0,0,100,14:38:58,2690,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,257,3,0,0,100,353,207,2,0,0,100,14:38:58,2724,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,259,3,0,0,100,353,209,2,0,0,100,14:38:58,2759,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,261,3,0,0,100,353,211,2,0,0,100,14:38:58,2793,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,263,3,0,0,100,353,213,2,0,0,100,14:38:58,2828,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,265,3,0,0,100,353,215,2,0,0,100,14:38:58,2862,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,265,3,0,0,100,355,215,1,0,0,100,14:38:58,2897,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,263,3,0,0,100,355,213,3,0,0,100,14:38:58,2931,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,265,3,0,0,100,355,215,2,0,0,100,14:38:58,2966,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,267,3,0,0,100,355,217,2,0,0,100,14:38:59,3000,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,269,3,0,0,100,355,219,2,0,0,100,14:38:59,3036,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,271,3,0,0,100,355,221,2,0,0,100,14:38:59,3071,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,273,3,0,0,100,355,223,2,0,0,100,14:38:59,3107,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,275,3,0,0,100,355,225,2,0,0,100,14:38:59,3143,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,277,3,0,0,100,355,227,2,0,0,100,14:38:59,3179,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
