P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
235,207,4,0,0,100,237,207,1,0,0,100,14:31:21,136,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
235,207,4,0,0,100,239,207,1,0,0,100,14:31:21,409,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
237,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1143,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
239,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1179,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
241,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1214,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
243,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1250,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
245,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1286,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
247,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1321,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
249,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1357,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
251,207,1,0,0,100,239,207,4,0,0,100,14:31:22,1393,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
253,207,1,0,0,100,239,209,2,0,0,100,14:31:22,1429,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
255,207,1,0,0,100,239,209,4,0,0,100,14:31:22,1464,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
257,207,1,0,0,100,239,209,4,0,0,100,14:31:22,1500,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
259,207,1,0,0,100,237,209,0,0,0,100,14:31:22,1536,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
261,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1571,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
263,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1607,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
265,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1643,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
267,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1679,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
269,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1714,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
271,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1750,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
273,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1786,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
275,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1821,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
277,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1857,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
279,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1893,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
281,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1929,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
283,207,1,0,0,100,237,209,4,0,0,100,14:31:22,1964,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
285,207,1,0,0,100,237,209,4,0,0,100,14:31:23,2000,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
287,207,1,0,0,100,237,209,4,0,0,100,14:31:23,2034,200,329,271,138,102,45,85,253,222,65,58,160,31,91,71,312,60,88,93,89,147,77,94,94,27,88,71
