P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
154,236,4,0,0,100,156,236,1,0,0,100,14:56:30,0,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,236,4,0,0,100,158,236,1,0,0,100,14:56:31,1069,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,236,4,0,0,100,158,238,2,0,0,100,14:56:32,2000,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,236,4,0,0,100,160,238,1,0,0,100,14:56:32,2071,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,236,4,0,0,100,158,238,0,0,0,100,14:56:32,2107,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,236,4,0,0,100,156,238,0,0,0,100,14:56:32,2321,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,238,3,0,0,100,156,238,4,0,0,100,14:56:32,2643,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,240,3,0,0,100,156,238,4,0,0,100,14:56:32,2679,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,242,3,0,0,100,156,238,4,0,0,100,14:56:32,2714,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,244,3,0,0,100,156,238,4,0,0,100,14:56:32,2750,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,246,3,0,0,100,156,238,4,0,0,100,14:56:32,2786,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,248,3,0,0,100,156,238,4,0,0,100,14:56:32,2821,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,250,3,0,0,100,156,238,4,0,0,100,14:56:32,2857,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,252,3,0,0,100,156,238,4,0,0,100,14:56:32,2893,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,254,3,0,0,100,156,238,4,0,0,100,14:56:32,2929,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,256,3,0,0,100,156,238,4,0,0,100,14:56:32,2964,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,258,3,0,0,100,156,238,4,0,0,100,14:56:33,3000,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,260,3,0,0,100,156,238,4,0,0,100,14:56:33,3036,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,262,3,0,0,100,156,238,4,0,0,100,14:56:33,3071,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,264,3,0,0,100,156,238,4,0,0,100,14:56:33,3107,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,266,3,0,0,100,156,238,4,0,0,100,14:56:33,3143,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,268,3,0,0,100,156,238,4,0,0,100,14:56:33,3179,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,270,3,0,0,100,156,238,4,0,0,100,14:56:33,3214,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,272,3,0,0,100,156,238,4,0,0,100,14:56:33,3250,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,274,3,0,0,100,156,238,4,0,0,100,14:56:33,3286,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,276,3,0,0,100,156,238,4,0,0,100,14:56:33,3321,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,278,3,0,0,100,156,238,4,0,0,100,14:56:33,3357,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,280,3,0,0,100,156,238,4,0,0,100,14:56:33,3393,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,282,3,0,0,100,156,238,4,0,0,100,14:56:33,3429,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,284,3,0,0,100,156,238,4,0,0,100,14:56:33,3464,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,286,3,0,0,100,156,238,4,0,0,100,14:56:33,3500,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,288,3,0,0,100,156,238,4,0,0,100,14:56:33,3536,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
154,290,3,0,0,100,156,240,2,0,0,100,14:56:33,3571,200,85,268,64,81,96,81,63,236,77,30,324,194,63,32,202,131,57,99,219,173,65,90,344,39,39,90
