P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
358,95,4,0,0,100,358,95,4,0,0,100,14:32:41
358,95,4,0,0,100,358,95,4,0,0,100,14:32:41
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,358,95,4,0,0,100,14:32:42
358,95,4,0,0,100,360,95,1,0,0,100,14:32:42
358,95,4,0,0,100,360,95,4,0,0,100,14:32:42
358,95,4,0,0,100,360,95,4,0,0,100,14:32:42
358,93,2,0,0,100,360,95,4,0,0,100,14:32:42
358,91,2,0,0,100,360,95,4,0,0,100,14:32:42
358,89,2,0,0,100,360,95,4,0,0,100,14:32:42
358,87,2,0,0,100,360,95,4,0,0,100,14:32:42
358,85,2,0,0,100,360,95,4,0,0,100,14:32:42
358,83,2,0,0,100,360,95,4,0,0,100,14:32:42
358,81,2,0,0,100,360,95,4,0,0,100,14:32:42
358,79,2,0,0,100,360,95,4,0,0,100,14:32:42
358,77,2,0,0,100,360,95,4,0,0,100,14:32:43
358,75,2,0,0,100,360,95,4,0,0,100,14:32:43
358,73,2,0,0,100,360,95,4,0,0,100,14:32:43
358,71,2,0,0,100,360,95,4,0,0,100,14:32:43
358,69,2,0,0,100,360,95,4,0,0,100,14:32:43
358,67,2,0,0,100,360,95,4,0,0,100,14:32:43
358,65,2,0,0,100,360,95,4,0,0,100,14:32:43
358,63,2,0,0,100,358,95,0,0,0,100,14:32:43
358,61,2,0,0,100,358,97,2,0,0,100,14:32:43
358,59,2,0,0,100,358,97,4,0,0,100,14:32:43
358,57,2,0,0,100,358,97,4,0,0,100,14:32:43
358,55,2,0,0,100,358,97,4,0,0,100,14:32:43
358,53,2,0,0,100,358,97,4,0,0,100,14:32:43
358,51,2,0,0,100,358,97,4,0,0,100,14:32:43
358,49,2,0,0,100,358,97,4,0,0,100,14:32:43
358,47,2,0,0,100,358,97,4,0,0,100,14:32:43
358,45,2,0,0,100,358,95,3,0,0,100,14:32:43
358,43,2,0,0,100,358,93,3,0,0,100,14:32:43
358,41,2,0,0,100,358,91,3,0,0,100,14:32:43
358,39,2,0,0,100,358,89,3,0,0,100,14:32:43
358,37,2,0,0,100,358,87,3,0,0,100,14:32:43
358,35,2,0,0,100,358,85,3,0,0,100,14:32:43
358,33,2,0,0,100,358,83,3,0,0,100,14:32:43
358,31,2,0,0,100,358,81,3,0,0,100,14:32:43
358,29,2,0,0,100,358,79,3,0,0,100,14:32:43
358,27,2,0,0,100,358,77,3,0,0,100,14:32:43
358,25,2,0,0,100,358,75,3,0,0,100,14:32:43
356,25,2,0,0,100,356,75,0,0,0,100,14:32:43
