P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
229,121,4,0,0,100,229,121,4,0,0,100,14:30:06
229,121,4,0,0,100,229,121,4,0,0,100,14:30:06
229,121,4,0,0,100,229,121,4,0,0,100,14:30:06
229,121,4,0,0,100,229,123,2,0,0,100,14:30:06
229,121,4,0,0,100,229,123,4,0,0,100,14:30:07
229,121,4,0,0,100,229,123,4,0,0,100,14:30:07
229,121,4,0,0,100,229,123,4,0,0,100,14:30:07
229,121,4,0,0,100,229,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,0,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,125,2,0,0,100,14:30:07
229,121,4,0,0,100,227,125,4,0,0,100,14:30:07
229,121,4,0,0,100,227,125,4,0,0,100,14:30:07
229,121,4,0,0,100,227,125,4,0,0,100,14:30:07
229,121,4,0,0,100,227,125,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,3,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
229,121,4,0,0,100,227,123,4,0,0,100,14:30:07
231,121,1,0,0,100,227,123,4,0,0,100,14:30:07
233,121,1,0,0,100,229,123,1,0,0,100,14:30:07
235,121,1,0,0,100,229,123,4,0,0,100,14:30:07
237,121,1,0,0,100,229,123,4,0,0,100,14:30:07
239,121,1,0,0,100,229,123,4,0,0,100,14:30:07
241,121,1,0,0,100,229,123,4,0,0,100,14:30:07
243,121,1,0,0,100,229,123,4,0,0,100,14:30:07
245,121,1,0,0,100,229,123,4,0,0,100,14:30:07
247,121,1,0,0,100,229,123,4,0,0,100,14:30:07
249,121,1,0,0,100,229,123,4,0,0,100,14:30:07
251,121,1,0,0,100,229,123,4,0,0,100,14:30:07
253,121,1,0,0,100,231,123,1,0,0,100,14:30:08
255,121,1,0,0,100,231,123,4,0,0,100,14:30:08
257,121,1,0,0,100,231,123,4,0,0,100,14:30:08
259,121,1,0,0,100,231,123,4,0,0,100,14:30:08
261,121,1,0,0,100,231,123,4,0,0,100,14:30:08
263,121,1,0,0,100,231,123,4,0,0,100,14:30:08
265,121,1,0,0,100,231,123,4,0,0,100,14:30:08
267,121,1,0,0,100,231,123,4,0,0,100,14:30:08
269,121,1,0,0,100,231,123,4,0,0,100,14:30:08
271,121,1,0,0,100,231,123,4,0,0,100,14:30:08
273,121,1,0,0,100,231,123,4,0,0,100,14:30:08
275,121,1,0,0,100,231,123,4,0,0,100,14:30:08
