P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,32,4,0,0,100,14:45:31
384,32,4,0,0,100,384,30,3,0,0,100,14:45:31
384,32,4,0,0,100,384,30,4,0,0,100,14:45:31
384,32,4,0,0,100,384,30,4,0,0,100,14:45:31
384,32,4,0,0,100,382,30,0,0,0,100,14:45:31
384,32,4,0,0,100,382,30,4,0,0,100,14:45:31
384,32,4,0,0,100,382,28,3,0,0,100,14:45:31
384,32,4,0,0,100,382,28,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,3,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
384,32,4,0,0,100,382,26,4,0,0,100,14:45:31
382,32,0,0,0,100,382,26,4,0,0,100,14:45:31
380,32,0,0,0,100,382,26,4,0,0,100,14:45:31
378,32,0,0,0,100,382,26,4,0,0,100,14:45:31
376,32,0,0,0,100,382,26,4,0,0,100,14:45:31
374,32,0,0,0,100,382,26,4,0,0,100,14:45:32
372,32,0,0,0,100,382,26,4,0,0,100,14:45:32
370,32,0,0,0,100,382,26,4,0,0,100,14:45:32
368,32,0,0,0,100,382,26,4,0,0,100,14:45:32
366,32,0,0,0,100,382,26,4,0,0,100,14:45:32
364,32,0,0,0,100,382,26,4,0,0,100,14:45:32
362,32,0,0,0,100,382,28,2,0,0,100,14:45:32
360,32,0,0,0,100,382,28,4,0,0,100,14:45:32
358,32,0,0,0,100,382,28,4,0,0,100,14:45:32
356,32,0,0,0,100,382,28,4,0,0,100,14:45:32
354,32,0,0,0,100,382,28,4,0,0,100,14:45:32
352,32,0,0,0,100,382,28,4,0,0,100,14:45:32
350,32,0,0,0,100,382,28,4,0,0,100,14:45:32
348,32,0,0,0,100,382,28,4,0,0,100,14:45:32
346,32,0,0,0,100,382,28,4,0,0,100,14:45:32
344,32,0,0,0,100,382,28,4,0,0,100,14:45:32
342,32,0,0,0,100,382,28,4,0,0,100,14:45:32
340,32,0,0,0,100,382,26,3,0,0,100,14:45:32
338,32,0,0,0,100,382,26,4,0,0,100,14:45:32
336,32,0,0,0,100,382,26,4,0,0,100,14:45:32
