P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
380,267,0,0,0,100,378,271,4,0,0,100,14:52:03
380,265,2,0,0,100,378,271,4,0,0,100,14:52:03
380,263,2,0,0,100,378,271,4,0,0,100,14:52:03
380,261,2,0,0,100,380,271,1,0,0,100,14:52:03
380,259,2,0,0,100,380,271,4,0,0,100,14:52:03
380,257,2,0,0,100,380,271,4,0,0,100,14:52:03
380,255,2,0,0,100,380,271,4,0,0,100,14:52:03
380,253,2,0,0,100,380,271,4,0,0,100,14:52:03
380,251,2,0,0,100,380,271,4,0,0,100,14:52:03
380,249,2,0,0,100,380,271,4,0,0,100,14:52:03
380,247,2,0,0,100,380,271,4,0,0,100,14:52:03
380,245,2,0,0,100,380,271,4,0,0,100,14:52:03
380,243,2,0,0,100,380,271,4,0,0,100,14:52:03
380,241,2,0,0,100,380,271,4,0,0,100,14:52:03
380,239,2,0,0,100,380,271,4,0,0,100,14:52:03
380,237,2,0,0,100,380,271,4,0,0,100,14:52:03
380,235,2,0,0,100,380,271,4,0,0,100,14:52:03
380,233,2,0,0,100,380,271,4,0,0,100,14:52:03
380,231,2,0,0,100,380,271,4,0,0,100,14:52:03
380,229,2,0,0,100,380,271,4,0,0,100,14:52:03
380,227,2,0,0,100,380,271,4,0,0,100,14:52:04
380,225,2,0,0,100,380,271,4,0,0,100,14:52:04
380,223,2,0,0,100,382,271,1,0,0,100,14:52:04
380,221,2,0,0,100,382,271,4,0,0,100,14:52:04
380,219,2,0,0,100,382,269,3,0,0,100,14:52:04
380,217,2,0,0,100,382,267,3,0,0,100,14:52:04
380,215,2,0,0,100,382,265,3,0,0,100,14:52:04
380,213,2,0,0,100,382,263,3,0,0,100,14:52:04
380,211,2,0,0,100,382,261,3,0,0,100,14:52:04
380,209,2,0,0,100,382,259,3,0,0,100,14:52:04
380,207,2,0,0,100,382,257,3,0,0,100,14:52:04
380,205,2,0,0,100,382,255,3,0,0,100,14:52:04
380,203,2,0,0,100,382,253,3,0,0,100,14:52:04
380,201,2,0,0,100,382,251,3,0,0,100,14:52:04
380,199,2,0,0,100,382,249,3,0,0,100,14:52:04
380,197,2,0,0,100,382,247,3,0,0,100,14:52:04
380,195,2,0,0,100,382,245,3,0,0,100,14:52:04
380,193,2,0,0,100,382,243,3,0,0,100,14:52:04
380,191,2,0,0,100,382,241,3,0,0,100,14:52:04
380,189,2,0,0,100,382,239,3,0,0,100,14:52:04
380,187,2,0,0,100,382,237,3,0,0,100,14:52:04
380,185,2,0,0,100,382,235,3,0,0,100,14:52:04
380,183,2,0,0,100,382,233,3,0,0,100,14:52:04
380,181,2,0,0,100,382,231,3,0,0,100,14:52:04
380,179,2,0,0,100,382,229,3,0,0,100,14:52:04
380,177,2,0,0,100,382,227,3,0,0,100,14:52:04
380,175,2,0,0,100,382,225,3,0,0,100,14:52:04
380,173,2,0,0,100,382,223,3,0,0,100,14:52:04
380,171,2,0,0,100,382,221,3,0,0,100,14:52:04
380,173,2,0,0,100,382,223,2,0,0,100,14:52:05
380,171,2,0,0,100,382,221,3,0,0,100,14:52:05
380,169,2,0,0,100,382,219,3,0,0,100,14:52:05
380,167,2,0,0,100,382,217,3,0,0,100,14:52:05
380,167,2,0,0,100,382,217,4,0,0,100,14:52:05
378,167,2,0,0,100,380,217,0,0,0,100,14:52:05
378,165,2,0,0,100,380,215,3,0,0,100,14:52:05
378,163,2,0,0,100,380,213,3,0,0,100,14:52:05
378,161,2,0,0,100,380,211,3,0,0,100,14:52:05
378,159,2,0,0,100,380,209,3,0,0,100,14:52:05
378,157,2,0,0,100,380,207,3,0,0,100,14:52:05
378,155,2,0,0,100,380,205,3,0,0,100,14:52:05
378,153,2,0,0,100,380,203,3,0,0,100,14:52:05
378,151,2,0,0,100,380,201,3,0,0,100,14:52:05
378,149,2,0,0,100,380,199,3,0,0,100,14:52:05
378,147,2,0,0,100,380,197,3,0,0,100,14:52:05
378,145,2,0,0,100,380,195,3,0,0,100,14:52:05
378,143,2,0,0,100,380,193,3,0,0,100,14:52:05
378,141,2,0,0,100,380,191,3,0,0,100,14:52:05
