P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
5,201,4,0,0,100,7,201,1,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,201,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,2,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:26
5,201,4,0,0,100,7,203,4,0,0,100,15:03:27
5,203,3,0,0,100,7,203,4,0,0,100,15:03:27
5,205,3,0,0,100,7,203,4,0,0,100,15:03:27
5,207,3,0,0,100,7,203,4,0,0,100,15:03:27
5,209,3,0,0,100,7,203,4,0,0,100,15:03:27
5,211,3,0,0,100,5,203,0,0,0,100,15:03:27
5,213,3,0,0,100,5,203,4,0,0,100,15:03:27
5,215,3,0,0,100,5,203,4,0,0,100,15:03:27
5,217,3,0,0,100,5,203,4,0,0,100,15:03:27
5,219,3,0,0,100,5,201,3,0,0,100,15:03:27
5,221,3,0,0,100,5,201,4,0,0,100,15:03:27
5,223,3,0,0,100,7,201,1,0,0,100,15:03:27
5,225,3,0,0,100,7,201,4,0,0,100,15:03:27
5,227,3,0,0,100,7,201,4,0,0,100,15:03:27
5,229,3,0,0,100,7,201,4,0,0,100,15:03:27
5,231,3,0,0,100,7,201,4,0,0,100,15:03:27
5,233,3,0,0,100,7,201,4,0,0,100,15:03:27
5,235,3,0,0,100,7,201,4,0,0,100,15:03:27
5,237,3,0,0,100,7,201,4,0,0,100,15:03:27
5,239,3,0,0,100,7,201,4,0,0,100,15:03:27
5,241,3,0,0,100,7,201,4,0,0,100,15:03:27
5,243,3,0,0,100,7,201,4,0,0,100,15:03:27
5,245,3,0,0,100,7,199,3,0,0,100,15:03:27
5,247,3,0,0,100,7,199,4,0,0,100,15:03:27
5,249,3,0,0,100,7,199,4,0,0,100,15:03:27
5,251,3,0,0,100,7,201,2,0,0,100,15:03:27
5,251,3,0,0,100,7,201,4,0,0,100,15:03:27
5,253,3,0,0,100,7,203,2,0,0,100,15:03:27
5,255,3,0,0,100,7,205,2,0,0,100,15:03:27
5,257,3,0,0,100,7,207,2,0,0,100,15:03:28
5,259,3,0,0,100,7,209,2,0,0,100,15:03:28
5,261,3,0,0,100,7,211,2,0,0,100,15:03:28
5,263,3,0,0,100,7,213,2,0,0,100,15:03:28
5,265,3,0,0,100,7,215,2,0,0,100,15:03:28
5,267,3,0,0,100,7,217,2,0,0,100,15:03:28
5,269,3,0,0,100,7,219,2,0,0,100,15:03:28
5,271,3,0,0,100,7,221,2,0,0,100,15:03:28
5,273,3,0,0,100,7,223,2,0,0,100,15:03:28
5,275,3,0,0,100,7,225,2,0,0,100,15:03:28
5,277,3,0,0,100,7,227,2,0,0,100,15:03:28
3,277,3,0,0,100,5,227,0,0,0,100,15:03:28
3,279,3,0,0,100,5,229,2,0,0,100,15:03:28
3,279,3,0,0,100,5,229,4,0,0,100,15:03:28
3,281,3,0,0,100,5,231,2,0,0,100,15:03:28
3,283,3,0,0,100,5,233,2,0,0,100,15:03:28
3,285,3,0,0,100,5,235,2,0,0,100,15:03:28
3,287,3,0,0,100,5,237,2,0,0,100,15:03:28
3,289,3,0,0,100,5,239,2,0,0,100,15:03:28
3,291,3,0,0,100,5,241,2,0,0,100,15:03:28
3,293,3,0,0,100,5,243,2,0,0,100,15:03:28
3,295,3,0,0,100,5,245,2,0,0,100,15:03:28
3,297,3,0,0,100,5,247,2,0,0,100,15:03:28
5,297,1,0,0,100,5,249,2,0,0,100,15:03:28
7,297,1,0,0,100,5,251,2,0,0,100,15:03:28
9,297,1,0,0,100,5,253,2,0,0,100,15:03:28
11,297,1,0,0,100,5,255,2,0,0,100,15:03:28
13,297,1,0,0,100,5,257,2,0,0,100,15:03:28
15,297,1,0,0,100,3,257,0,0,0,100,15:03:29
17,297,1,0,0,100,3,259,2,0,0,100,15:03:29
19,297,1,0,0,100,3,259,4,0,0,100,15:03:29
21,297,1,0,0,100,3,259,4,0,0,100,15:03:29
23,297,1,0,0,100,3,259,4,0,0,100,15:03:29
25,297,1,0,0,100,5,259,1,0,0,100,15:03:29
27,297,1,0,0,100,5,259,4,0,0,100,15:03:29
29,297,1,0,0,100,5,259,4,0,0,100,15:03:29
31,297,1,0,0,100,5,259,4,0,0,100,15:03:29
33,297,1,0,0,100,7,259,1,0,0,100,15:03:29
35,297,1,0,0,100,7,259,4,0,0,100,15:03:29
37,297,1,0,0,100,7,259,4,0,0,100,15:03:29
37,295,1,0,0,100,7,257,3,0,0,100,15:03:29
39,295,1,0,0,100,7,257,4,0,0,100,15:03:29
41,295,1,0,0,100,7,257,4,0,0,100,15:03:29
43,295,1,0,0,100,7,259,2,0,0,100,15:03:29
41,295,1,0,0,100,5,259,0,0,0,100,15:03:29
41,295,1,0,0,100,5,259,4,0,0,100,15:03:29
43,295,1,0,0,100,5,261,2,0,0,100,15:03:29
45,295,1,0,0,100,5,263,2,0,0,100,15:03:29
45,297,1,0,0,100,5,265,2,0,0,100,15:03:29
45,295,1,0,0,100,5,263,3,0,0,100,15:03:29
45,297,1,0,0,100,5,265,2,0,0,100,15:03:29
45,299,1,0,0,100,5,267,2,0,0,100,15:03:29
47,299,1,0,0,100,7,267,1,0,0,100,15:03:29
49,299,1,0,0,100,9,267,1,0,0,100,15:03:29
51,299,1,0,0,100,11,267,1,0,0,100,15:03:29
51,297,1,0,0,100,11,265,3,0,0,100,15:03:29
53,297,1,0,0,100,13,265,1,0,0,100,15:03:30
55,297,1,0,0,100,15,265,1,0,0,100,15:03:30
57,297,1,0,0,100,17,265,1,0,0,100,15:03:30
59,297,1,0,0,100,19,265,1,0,0,100,15:03:30
61,297,1,0,0,100,21,265,1,0,0,100,15:03:30
63,297,1,0,0,100,23,265,1,0,0,100,15:03:30
65,297,1,0,0,100,25,265,1,0,0,100,15:03:30
67,297,1,0,0,100,27,265,1,0,0,100,15:03:30
69,297,1,0,0,100,29,265,1,0,0,100,15:03:30
71,297,1,0,0,100,31,265,1,0,0,100,15:03:30
73,297,1,0,0,100,33,265,1,0,0,100,15:03:30
75,297,1,0,0,100,35,265,1,0,0,100,15:03:30
77,297,1,0,0,100,37,265,1,0,0,100,15:03:30
79,297,1,0,0,100,39,265,1,0,0,100,15:03:30
81,297,1,0,0,100,41,265,1,0,0,100,15:03:30
83,297,1,0,0,100,43,265,1,0,0,100,15:03:30
85,297,1,0,0,100,45,265,1,0,0,100,15:03:30
87,297,1,0,0,100,47,265,1,0,0,100,15:03:30
89,297,1,0,1,100,49,265,1,0,1,100,15:03:37
