P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,179,141,0,0,0,100,14:59:56
181,141,4,0,0,100,179,141,4,0,0,100,14:59:56
181,141,4,0,0,100,179,141,4,0,0,100,14:59:56
181,141,4,0,0,100,179,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,1,0,0,100,14:59:56
181,141,4,0,0,100,181,139,3,0,0,100,14:59:56
181,141,4,0,0,100,181,139,4,0,0,100,14:59:56
181,141,4,0,0,100,181,139,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,2,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:56
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,141,4,0,0,100,14:59:57
181,141,4,0,0,100,181,143,2,0,0,100,14:59:57
181,141,4,0,0,100,181,143,4,0,0,100,14:59:57
181,143,3,0,0,100,181,143,4,0,0,100,14:59:57
181,145,3,0,0,100,181,143,4,0,0,100,14:59:57
181,147,3,0,0,100,181,143,4,0,0,100,14:59:57
181,149,3,0,0,100,181,143,4,0,0,100,14:59:57
181,151,3,0,0,100,181,143,4,0,0,100,14:59:57
181,153,3,0,0,100,181,141,3,0,0,100,14:59:57
181,155,3,0,0,100,181,141,4,0,0,100,14:59:57
181,157,3,0,0,100,181,141,4,0,0,100,14:59:57
181,159,3,0,0,100,181,141,4,0,0,100,14:59:57
181,161,3,0,0,100,181,141,4,0,0,100,14:59:57
181,163,3,0,0,100,181,141,4,0,0,100,14:59:57
181,165,3,0,0,100,181,141,4,0,0,100,14:59:57
181,167,3,0,0,100,181,141,4,0,0,100,14:59:58
181,169,3,0,0,100,181,141,4,0,0,100,14:59:58
181,171,3,0,0,100,179,141,0,0,0,100,14:59:58
181,173,3,0,0,100,179,141,4,0,0,100,14:59:58
181,175,3,0,0,100,179,141,4,0,0,100,14:59:58
181,177,3,0,0,100,179,141,4,0,0,100,14:59:58
181,179,3,0,0,100,179,141,4,0,0,100,14:59:58
181,181,3,0,0,100,179,141,4,0,0,100,14:59:58
181,183,3,0,0,100,179,141,4,0,0,100,14:59:58
181,185,3,0,0,100,179,141,4,0,0,100,14:59:58
181,187,3,0,0,100,179,141,4,0,0,100,14:59:58
181,189,3,0,0,100,179,141,4,0,0,100,14:59:58
181,191,3,0,0,100,179,141,4,0,0,100,14:59:58
181,193,3,0,0,100,179,143,2,0,0,100,14:59:58
181,195,3,0,0,100,179,145,2,0,0,100,14:59:58
181,197,3,0,0,100,179,147,2,0,0,100,14:59:58
181,197,3,0,0,100,179,147,4,0,0,100,14:59:58
181,199,3,0,0,100,179,149,2,0,0,100,14:59:58
181,201,3,0,0,100,179,151,2,0,0,100,14:59:58
181,203,3,0,0,100,179,153,2,0,0,100,14:59:58
181,205,3,0,0,100,179,155,2,0,0,100,14:59:58
181,207,3,0,0,100,179,157,2,0,0,100,14:59:58
181,209,3,0,0,100,179,159,2,0,0,100,14:59:58
181,211,3,0,0,100,179,161,2,0,0,100,14:59:58
181,213,3,0,0,100,179,163,2,0,0,100,14:59:58
181,215,3,0,0,100,179,165,2,0,0,100,14:59:58
181,217,3,0,0,100,179,167,2,0,0,100,14:59:58
181,215,3,0,0,100,179,165,3,0,0,100,14:59:58
181,217,3,0,0,100,179,167,2,0,0,100,14:59:58
181,219,3,0,0,100,179,169,2,0,0,100,14:59:59
181,221,3,0,0,100,179,171,2,0,0,100,14:59:59
181,223,3,0,0,100,179,173,2,0,0,100,14:59:59
181,225,3,0,0,100,179,175,2,0,0,100,14:59:59
181,227,3,0,0,100,179,177,2,0,0,100,14:59:59
181,229,3,0,0,100,179,179,2,0,0,100,14:59:59
181,231,3,0,0,100,179,181,2,0,0,100,14:59:59
181,233,3,0,0,100,179,183,2,0,0,100,14:59:59
181,235,3,0,0,100,179,185,2,0,0,100,14:59:59
181,237,3,0,0,100,179,187,2,0,0,100,14:59:59
181,239,3,0,0,100,179,189,2,0,0,100,14:59:59
181,241,3,0,0,100,179,191,2,0,0,100,14:59:59
181,243,3,0,0,100,179,193,2,0,0,100,14:59:59
181,245,3,0,0,100,179,195,2,0,0,100,14:59:59
181,247,3,0,0,100,179,197,2,0,0,100,14:59:59
181,249,3,0,0,100,179,199,2,0,0,100,14:59:59
181,251,3,0,0,100,179,201,2,0,0,100,14:59:59
181,253,3,0,0,100,179,203,2,0,0,100,14:59:59
181,255,3,0,0,100,179,205,2,0,0,100,14:59:59
181,257,3,0,0,100,179,207,2,0,0,100,14:59:59
181,259,3,0,0,100,179,209,2,0,0,100,14:59:59
181,261,3,0,0,100,179,211,2,0,0,100,14:59:59
181,263,3,0,0,100,179,213,2,0,0,100,14:59:59
181,265,3,0,0,100,179,215,2,0,0,100,14:59:59
181,267,3,0,0,100,179,217,2,0,0,100,14:59:59
181,269,3,0,0,100,179,219,2,0,0,100,14:59:59
181,267,3,0,0,100,179,217,3,0,0,100,14:59:59
181,269,3,0,0,100,179,219,2,0,0,100,14:59:59
181,271,3,0,0,100,179,221,2,0,0,100,15:00:00
181,273,3,0,0,100,179,223,2,0,0,100,15:00:00
181,275,3,0,0,100,179,225,2,0,0,100,15:00:00
181,277,3,0,0,100,179,227,2,0,0,100,15:00:00
183,277,3,0,0,100,181,227,1,0,0,100,15:00:00
183,279,3,0,0,100,181,229,2,0,0,100,15:00:00
183,281,3,0,0,100,181,231,2,0,0,100,15:00:00
183,283,3,0,0,100,181,233,2,0,0,100,15:00:00
183,285,3,0,0,100,181,235,2,0,0,100,15:00:00
183,287,3,0,0,100,181,237,2,0,0,100,15:00:00
183,289,3,0,0,100,181,239,2,0,0,100,15:00:00
183,291,3,0,0,100,181,241,2,0,0,100,15:00:00
183,293,3,0,0,100,181,243,2,0,0,100,15:00:00
183,295,3,0,0,100,181,245,2,0,0,100,15:00:00
183,297,3,0,0,100,181,247,2,0,0,100,15:00:00
183,299,3,0,0,100,181,249,2,0,0,100,15:00:00
183,301,3,0,0,100,181,251,2,0,0,100,15:00:00
181,301,0,0,0,100,181,253,2,0,0,100,15:00:00
179,301,0,0,0,100,181,255,2,0,0,100,15:00:00
177,301,0,0,0,100,181,257,2,0,0,100,15:00:00
175,301,0,0,0,100,181,259,2,0,0,100,15:00:00
173,301,0,0,0,100,181,261,2,0,0,100,15:00:00
171,301,0,0,0,100,181,263,2,0,0,100,15:00:00
169,301,0,0,0,100,181,263,4,0,0,100,15:00:00
167,301,0,0,0,100,181,263,4,0,0,100,15:00:00
165,301,0,0,0,100,181,263,4,0,0,100,15:00:00
163,301,0,0,0,100,181,263,4,0,0,100,15:00:00
161,301,0,0,0,100,181,263,4,0,0,100,15:00:00
159,301,0,0,0,100,181,263,4,0,0,100,15:00:01
157,301,0,0,0,100,181,263,4,0,0,100,15:00:01
155,301,0,0,0,100,181,263,4,0,0,100,15:00:01
153,301,0,0,0,100,181,263,4,0,0,100,15:00:01
151,301,0,0,0,100,181,265,2,0,0,100,15:00:01
149,301,0,0,0,100,181,265,4,0,0,100,15:00:01
147,301,0,0,0,100,181,265,4,0,0,100,15:00:01
145,301,0,0,0,100,181,265,4,0,0,100,15:00:01
143,301,0,0,0,100,179,265,0,0,0,100,15:00:01
141,301,0,0,0,100,179,267,2,0,0,100,15:00:01
139,301,0,0,0,100,179,269,2,0,0,100,15:00:01
139,299,0,0,0,100,179,267,3,0,0,100,15:00:01
139,301,0,0,0,100,179,269,2,0,0,100,15:00:01
139,303,0,0,0,100,179,271,2,0,0,100,15:00:01
139,305,0,0,0,100,179,273,2,0,0,100,15:00:01
139,307,0,0,0,100,179,275,2,0,0,100,15:00:01
137,307,0,0,0,100,177,275,0,0,0,100,15:00:01
135,307,0,0,0,100,175,275,0,0,0,100,15:00:01
133,307,0,0,0,100,173,275,0,0,0,100,15:00:01
131,307,0,0,0,100,171,275,0,0,0,100,15:00:01
129,307,0,0,0,100,169,275,0,0,0,100,15:00:01
127,307,0,0,0,100,167,275,0,0,0,100,15:00:01
125,307,0,0,0,100,165,275,0,0,0,100,15:00:01
123,307,0,0,1,100,163,275,0,0,1,100,15:00:08
