P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(1, 0)","(9, 108)","(119, 34)","(-45, 136)","(-70, 125)","(31, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-129, 16)","(-130, 16)",1,4,200,9821
"(2, 0)","(10, 108)","(120, 34)","(-69, 125)","(-44, 136)","(32, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-128, 16)","(-130, 16)",1,4,200,9857
"(3, 0)","(11, 108)","(121, 34)","(-68, 125)","(-43, 136)","(33, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-127, 16)","(-130, 16)",1,4,200,9893
"(4, 0)","(12, 108)","(122, 34)","(-67, 125)","(-42, 136)","(34, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-126, 16)","(-130, 16)",1,4,200,9929
"(5, 0)","(13, 108)","(123, 34)","(-66, 125)","(-41, 136)","(35, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-125, 16)","(-130, 16)",1,4,200,9964
"(6, 0)","(14, 108)","(124, 34)","(-65, 125)","(-40, 136)","(36, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-124, 16)","(-130, 16)",1,4,200,10000
"(7, 0)","(15, 108)","(125, 34)","(-64, 125)","(-39, 136)","(37, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-123, 16)","(-130, 16)",1,4,200,10036
"(8, 0)","(16, 108)","(126, 34)","(-63, 125)","(-38, 136)","(38, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-122, 16)","(-130, 16)",1,4,200,10071
"(9, 0)","(17, 108)","(127, 34)","(-62, 125)","(-37, 136)","(39, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-121, 16)","(-130, 16)",1,4,200,10107
"(10, 0)","(18, 108)","(128, 34)","(-61, 125)","(-36, 136)","(40, 176)","(8, 108)","(118, 34)","(-46, 136)","(-71, 125)","(30, 176)","(-120, 16)","(-130, 16)",1,4,200,10143
