P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(-21, 12)","(31.0, 0.0)","(25, 28)","(0.0, -40.0)","(28, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-134, 38)","(-135, 38)",7393
"(2, 0)","(-20, 12)","(32.0, 0.0)","(26, 28)","(0.0, -40.0)","(29, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-133, 38)","(-135, 38)",7429
"(3, 0)","(-19, 12)","(33.0, 0.0)","(27, 28)","(0.0, -40.0)","(30, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-132, 38)","(-135, 38)",7464
"(4, 0)","(-18, 12)","(34.0, 0.0)","(28, 28)","(0.0, -40.0)","(31, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-131, 38)","(-135, 38)",7500
"(5, 0)","(-17, 12)","(35.0, 0.0)","(0.0, -40.0)","(29, 28)","(32, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-130, 38)","(-135, 38)",7536
"(6, 0)","(-16, 12)","(36.0, 0.0)","(0.0, -40.0)","(30, 28)","(33, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-129, 38)","(-135, 38)",7571
"(7, 0)","(-15, 12)","(37.0, 0.0)","(0.0, -40.0)","(31, 28)","(34, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-128, 38)","(-135, 38)",7607
"(8, 0)","(-14, 12)","(38.0, 0.0)","(0.0, -40.0)","(32, 28)","(35, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-127, 38)","(-135, 38)",7643
"(9, 0)","(-13, 12)","(39.0, 0.0)","(0.0, -40.0)","(33, 28)","(36, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-126, 38)","(-135, 38)",7679
"(10, 0)","(-12, 12)","(0.0, -40.0)","(40.0, 0.0)","(34, 28)","(37, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-125, 38)","(-135, 38)",7714
"(11, 0)","(-11, 12)","(0.0, -40.0)","(41.0, 0.0)","(35, 28)","(38, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-124, 38)","(-135, 38)",7750
"(12, 0)","(-10, 12)","(0.0, -40.0)","(42.0, 0.0)","(36, 28)","(39, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-123, 38)","(-135, 38)",7786
"(13, 0)","(-9, 12)","(0.0, -40.0)","(43.0, 0.0)","(37, 28)","(40, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-122, 38)","(-135, 38)",7821
"(14, 0)","(-8, 12)","(0.0, -40.0)","(44.0, 0.0)","(38, 28)","(41, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-121, 38)","(-135, 38)",7857
"(15, 0)","(-7, 12)","(0.0, -40.0)","(45.0, 0.0)","(39, 28)","(42, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-120, 38)","(-135, 38)",7893
"(16, 0)","(-6, 12)","(0.0, -40.0)","(46.0, 0.0)","(40, 28)","(43, 42)","(-22, 12)","(30.0, 0.0)","(24, 28)","(0.0, -40.0)","(27, 42)","(-119, 38)","(-135, 38)",7929
