P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(16.0, 0.0)","(0.0, -16.0)","(51, -4)","(24, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-251, -89)","(-252, -89)",6571
"(2, 0)","(0.0, -16.0)","(17.0, 0.0)","(52, -4)","(25, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-250, -89)","(-252, -89)",6607
"(3, 0)","(0.0, -16.0)","(18.0, 0.0)","(53, -4)","(26, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-249, -89)","(-252, -89)",6643
"(4, 0)","(0.0, -16.0)","(19.0, 0.0)","(54, -4)","(27, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-248, -89)","(-252, -89)",6679
"(5, 0)","(0.0, -16.0)","(20.0, 0.0)","(55, -4)","(28, -48)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-247, -89)","(-252, -89)",6714
"(6, 0)","(0.0, -16.0)","(21.0, 0.0)","(29, -48)","(56, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-246, -89)","(-252, -89)",6750
"(7, 0)","(0.0, -16.0)","(22.0, 0.0)","(30, -48)","(57, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-245, -89)","(-252, -89)",6786
"(8, 0)","(0.0, -16.0)","(23.0, 0.0)","(31, -48)","(58, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-244, -89)","(-252, -89)",6821
"(9, 0)","(0.0, -16.0)","(24.0, 0.0)","(32, -48)","(59, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-243, -89)","(-252, -89)",6857
"(10, 0)","(0.0, -16.0)","(25.0, 0.0)","(33, -48)","(60, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-242, -89)","(-252, -89)",6893
"(11, 0)","(0.0, -16.0)","(26.0, 0.0)","(34, -48)","(61, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-241, -89)","(-252, -89)",6929
"(12, 0)","(0.0, -16.0)","(27.0, 0.0)","(35, -48)","(62, -4)","(0.0, 105.0)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-240, -89)","(-252, -89)",6964
"(13, 0)","(0.0, -16.0)","(28.0, 0.0)","(36, -48)","(63, -4)","(0, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-239, -89)","(-252, -89)",7000
"(14, 0)","(0.0, -16.0)","(29.0, 0.0)","(37, -48)","(64, -4)","(1, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-238, -89)","(-252, -89)",7036
"(15, 0)","(0.0, -16.0)","(30.0, 0.0)","(38, -48)","(65, -4)","(2, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-237, -89)","(-252, -89)",7071
"(16, 0)","(0.0, -16.0)","(31.0, 0.0)","(39, -48)","(66, -4)","(3, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-236, -89)","(-252, -89)",7107
"(17, 0)","(0.0, -16.0)","(32.0, 0.0)","(40, -48)","(67, -4)","(4, 105)","(15.0, 0.0)","(0.0, -16.0)","(50, -4)","(23, -48)","(0.0, 105.0)","(-235, -89)","(-252, -89)",7143
