P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(-1, 0)","(20, 52)","(0.0, 91.0)","(97, 95)","(55, 147)","(-20, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(137, 247)","(138, 247)",8286
"(-2, 0)","(19, 52)","(0.0, 91.0)","(96, 95)","(54, 147)","(-21, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(136, 247)","(138, 247)",8321
"(-3, 0)","(18, 52)","(0.0, 91.0)","(95, 95)","(53, 147)","(-22, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(135, 247)","(138, 247)",8357
"(-4, 0)","(17, 52)","(0.0, 91.0)","(94, 95)","(52, 147)","(-23, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(134, 247)","(138, 247)",8393
"(-5, 0)","(16, 52)","(0.0, 91.0)","(93, 95)","(51, 147)","(-24, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(133, 247)","(138, 247)",8429
"(-6, 0)","(15, 52)","(0.0, 91.0)","(92, 95)","(50, 147)","(-25, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(132, 247)","(138, 247)",8464
"(-7, 0)","(14, 52)","(0.0, 91.0)","(91, 95)","(49, 147)","(-26, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(131, 247)","(138, 247)",8500
"(-8, 0)","(13, 52)","(0.0, 91.0)","(90, 95)","(48, 147)","(-27, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(130, 247)","(138, 247)",8536
"(-9, 0)","(12, 52)","(0.0, 91.0)","(89, 95)","(47, 147)","(-28, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(129, 247)","(138, 247)",8571
"(-10, 0)","(11, 52)","(0.0, 91.0)","(88, 95)","(46, 147)","(-29, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(128, 247)","(138, 247)",8607
"(-11, 0)","(10, 52)","(0.0, 91.0)","(87, 95)","(45, 147)","(-30, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(127, 247)","(138, 247)",8643
"(-12, 0)","(9, 52)","(0.0, 91.0)","(86, 95)","(44, 147)","(-31, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(126, 247)","(138, 247)",8679
"(-13, 0)","(8, 52)","(0.0, 91.0)","(85, 95)","(43, 147)","(-32, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(125, 247)","(138, 247)",8714
"(-14, 0)","(7, 52)","(0.0, 91.0)","(84, 95)","(42, 147)","(-33, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(124, 247)","(138, 247)",8750
"(-15, 0)","(6, 52)","(0.0, 91.0)","(83, 95)","(41, 147)","(-34, 172)","(21, 52)","(0.0, 91.0)","(98, 95)","(56, 147)","(-19, 172)","(123, 247)","(138, 247)",8786
