P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(-1, 0)","(-7, 24)","(-47, -8)","(33, -43)","(-66.0, 0.0)","(-31, 70)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-427, 305)","(-426, 305)",0,4,200,6036
"(-2, 0)","(-8, 24)","(-48, -8)","(32, -43)","(-67.0, 0.0)","(-32, 70)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-428, 305)","(-426, 305)",0,4,200,6071
"(-3, 0)","(-9, 24)","(-49, -8)","(31, -43)","(-68.0, 0.0)","(77.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-429, 305)","(-426, 305)",0,4,200,6107
"(-4, 0)","(-10, 24)","(-50, -8)","(30, -43)","(-69.0, 0.0)","(76.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-430, 305)","(-426, 305)",0,4,200,6143
"(-5, 0)","(-11, 24)","(-51, -8)","(29, -43)","(-70.0, 0.0)","(75.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-431, 305)","(-426, 305)",0,4,200,6179
"(-6, 0)","(-12, 24)","(28, -43)","(-52, -8)","(-71.0, 0.0)","(74.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-432, 305)","(-426, 305)",0,4,200,6214
"(-7, 0)","(-13, 24)","(27, -43)","(-53, -8)","(-72.0, 0.0)","(73.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-433, 305)","(-426, 305)",0,4,200,6250
"(-8, 0)","(-14, 24)","(26, -43)","(-54, -8)","(72.0, 0.0)","(-73.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-434, 305)","(-426, 305)",0,4,200,6286
"(-9, 0)","(-15, 24)","(25, -43)","(-55, -8)","(71.0, 0.0)","(-74.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-435, 305)","(-426, 305)",0,4,200,6321
"(-10, 0)","(-16, 24)","(24, -43)","(-56, -8)","(70.0, 0.0)","(-75.0, 0.0)","(-6, 24)","(-46, -8)","(34, -43)","(-65.0, 0.0)","(-76.0, 0.0)","(-436, 305)","(-426, 305)",0,4,200,6357
