P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, -1)","(63, 16)","(-62, 40)","(-89, 24)","(32, 132)","(14, 216)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 29)","(41, 30)",13143
"(0, -2)","(63, 15)","(-62, 39)","(-89, 23)","(32, 131)","(14, 215)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 28)","(41, 30)",13179
"(0, -3)","(63, 14)","(-62, 38)","(-89, 22)","(32, 130)","(14, 214)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 27)","(41, 30)",13214
"(0, -4)","(63, 13)","(-62, 37)","(-89, 21)","(32, 129)","(14, 213)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 26)","(41, 30)",13250
"(0, -5)","(63, 12)","(-62, 36)","(-89, 20)","(32, 128)","(14, 212)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 25)","(41, 30)",13286
"(0, -6)","(63, 11)","(-62, 35)","(-89, 19)","(32, 127)","(14, 211)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 24)","(41, 30)",13321
"(0, -7)","(63, 10)","(-62, 34)","(-89, 18)","(32, 126)","(14, 210)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 23)","(41, 30)",13357
"(0, -8)","(63, 9)","(-62, 33)","(-89, 17)","(32, 125)","(14, 209)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 22)","(41, 30)",13393
"(0, -9)","(63, 8)","(-62, 32)","(-89, 16)","(32, 124)","(14, 208)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 21)","(41, 30)",13429
"(0, -10)","(63, 7)","(-62, 31)","(-89, 15)","(32, 123)","(14, 207)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 20)","(41, 30)",13464
"(0, -11)","(63, 6)","(-62, 30)","(-89, 14)","(32, 122)","(14, 206)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 19)","(41, 30)",13500
"(0, -12)","(63, 5)","(-62, 29)","(-89, 13)","(32, 121)","(14, 205)","(63, 17)","(-62, 41)","(-89, 25)","(32, 133)","(14, 217)","(41, 18)","(41, 30)",13536
"(0, -14)","(63, 4)","(-62, 28)","(-89, 12)","(32, 120)","(14, 204)","(63, 18)","(-62, 42)","(-89, 26)","(32, 134)","(14, 218)","(41, 17)","(41, 31)",13571
"(0, -16)","(63, 3)","(-62, 27)","(-89, 11)","(32, 119)","(14, 203)","(63, 19)","(-62, 43)","(-89, 27)","(32, 135)","(14, 219)","(41, 16)","(41, 32)",13607
"(0, -18)","(63, 2)","(-62, 26)","(-89, 10)","(32, 118)","(14, 202)","(63, 20)","(-62, 44)","(-89, 28)","(32, 136)","(14, 220)","(41, 15)","(41, 33)",13643
"(0, -20)","(63, 1)","(-62, 25)","(-89, 9)","(32, 117)","(14, 201)","(63, 21)","(-62, 45)","(-89, 29)","(32, 137)","(14, 221)","(41, 14)","(41, 34)",13679
"(0, -22)","(63, 0)","(-62, 24)","(-89, 8)","(32, 116)","(14, 200)","(63, 22)","(-62, 46)","(-89, 30)","(32, 138)","(14, 222)","(41, 13)","(41, 35)",13714
"(0, -24)","(63.0, 0.0)","(-62, 23)","(-89, 7)","(32, 115)","(14, 199)","(63, 23)","(-62, 47)","(-89, 31)","(32, 139)","(14, 223)","(41, 12)","(41, 36)",13750
"(0, -26)","(63.0, 0.0)","(-62, 22)","(-89, 6)","(32, 114)","(14, 198)","(63, 24)","(-62, 48)","(-89, 32)","(32, 140)","(14, 224)","(41, 11)","(41, 37)",13786
"(0, -28)","(63.0, 0.0)","(-62, 21)","(-89, 5)","(32, 113)","(14, 197)","(63, 25)","(-62, 49)","(-89, 33)","(32, 141)","(14, 225)","(41, 10)","(41, 38)",13821
"(0, -30)","(63.0, 0.0)","(-62, 20)","(-89, 4)","(32, 112)","(14, 196)","(63, 26)","(-62, 50)","(-89, 34)","(32, 142)","(14, 226)","(41, 9)","(41, 39)",13857
"(0, -32)","(63.0, 0.0)","(-62, 19)","(-89, 3)","(32, 111)","(14, 195)","(63, 27)","(-62, 51)","(-89, 35)","(32, 143)","(14, 227)","(41, 8)","(41, 40)",13893
"(0, -34)","(63.0, 0.0)","(-62, 18)","(-89, 2)","(32, 110)","(14, 194)","(63, 28)","(-62, 52)","(-89, 36)","(32, 144)","(14, 228)","(41, 7)","(41, 41)",13929
"(0, -36)","(63.0, 0.0)","(-62, 17)","(-89, 1)","(32, 109)","(14, 193)","(63, 29)","(-62, 53)","(-89, 37)","(32, 145)","(14, 229)","(41, 6)","(41, 42)",13964
