P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(-1, 0)","(-9.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(4, 54)","(-58, 34)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-351, 113)","(-350, 113)",0,4,200,10259
"(-2, 0)","(-10.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(3, 54)","(20, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-352, 113)","(-350, 113)",0,4,200,10296
"(-3, 0)","(-11.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(2, 54)","(19, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-353, 113)","(-350, 113)",0,4,200,10333
"(-4, 0)","(-12.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(1, 54)","(18, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-354, 113)","(-350, 113)",0,4,200,10370
"(-5, 0)","(-13.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0, 54)","(17, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-355, 113)","(-350, 113)",0,4,200,10407
"(-6, 0)","(-14.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(16, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-356, 113)","(-350, 113)",0,4,200,10444
"(-7, 0)","(-15.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(15, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-357, 113)","(-350, 113)",0,4,200,10481
"(-8, 0)","(-16.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(14, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-358, 113)","(-350, 113)",0,4,200,10519
"(-9, 0)","(-17.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(13, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-359, 113)","(-350, 113)",0,4,200,10556
"(-10, 0)","(-18.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(12, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-360, 113)","(-350, 113)",0,4,200,10593
"(-11, 0)","(-19.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(11, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-361, 113)","(-350, 113)",0,4,200,10630
"(-12, 0)","(-20.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(10, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-362, 113)","(-350, 113)",0,4,200,10667
