P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, 1)","(-24, 14)","(-49, 68)","(-170, -6)","(-182, 3)","(-116, 176)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 37)","(-646, 36)",7690
"(0, 2)","(-24, 15)","(-49, 69)","(-170, -5)","(-182, 4)","(-116, 177)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 38)","(-646, 36)",7724
"(0, 3)","(-24, 16)","(-49, 70)","(-170, -4)","(-182, 5)","(-116, 178)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 39)","(-646, 36)",7759
"(0, 4)","(-24, 17)","(-49, 71)","(-170, -3)","(-182, 6)","(-116, 179)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 40)","(-646, 36)",7793
"(0, 5)","(-24, 18)","(-49, 72)","(-170, -2)","(-182, 7)","(-116, 180)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 41)","(-646, 36)",7828
"(0, 6)","(-24, 19)","(-49, 73)","(-170, -1)","(-182, 8)","(-116, 181)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 42)","(-646, 36)",7862
"(0, 7)","(-24, 20)","(-49, 74)","(-170, 0)","(-182, 9)","(-116, 182)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 43)","(-646, 36)",7897
"(0, 8)","(-24, 21)","(-49, 75)","(-170.0, 0.0)","(-182, 10)","(-116, 183)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 44)","(-646, 36)",7931
"(0, 9)","(-24, 22)","(-49, 76)","(-170.0, 0.0)","(-182, 11)","(-116, 184)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 45)","(-646, 36)",7966
"(0, 10)","(-24, 23)","(-49, 77)","(-170.0, 0.0)","(-182, 12)","(-116, 185)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 46)","(-646, 36)",8000
"(0, 11)","(-24, 24)","(-49, 78)","(-170.0, 0.0)","(-182, 13)","(-116, 186)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 47)","(-646, 36)",8037
"(0, 12)","(-24, 25)","(-49, 79)","(-170.0, 0.0)","(-182, 14)","(-116, 187)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 48)","(-646, 36)",8074
"(0, 13)","(-24, 26)","(-49, 80)","(-170.0, 0.0)","(-182, 15)","(-116, 188)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 49)","(-646, 36)",8111
"(0, 14)","(-24, 27)","(-49, 81)","(-170.0, 0.0)","(-182, 16)","(-116, 189)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 50)","(-646, 36)",8148
"(0, 15)","(-24, 28)","(-49, 82)","(-170.0, 0.0)","(-182, 17)","(-116, 190)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 51)","(-646, 36)",8185
"(0, 16)","(-24, 29)","(-49, 83)","(-170.0, 0.0)","(-182, 18)","(-116, 191)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 52)","(-646, 36)",8222
"(0, 17)","(-24, 30)","(-49, 84)","(-170.0, 0.0)","(-182, 19)","(-116, 192)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 53)","(-646, 36)",8259
"(0, 18)","(-24, 31)","(-49, 85)","(-170.0, 0.0)","(-182, 20)","(-116, 193)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 54)","(-646, 36)",8296
"(0, 19)","(-24, 32)","(-49, 86)","(-170.0, 0.0)","(-182, 21)","(-116, 194)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 55)","(-646, 36)",8333
"(0, 20)","(-24, 33)","(-49, 87)","(-170.0, 0.0)","(-182, 22)","(-116, 195)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 56)","(-646, 36)",8370
"(0, 21)","(-24, 34)","(-49, 88)","(-170.0, 0.0)","(-182, 23)","(-116, 196)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 57)","(-646, 36)",8407
"(0, 22)","(-24, 35)","(-49, 89)","(-170.0, 0.0)","(-182, 24)","(-116, 197)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 58)","(-646, 36)",8444
"(0, 23)","(-24, 36)","(-49, 90)","(-170.0, 0.0)","(-182, 25)","(-116, 198)","(-24, 13)","(-49, 67)","(-170, -7)","(-182, 2)","(-116, 175)","(-646, 59)","(-646, 36)",8481
