P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(-1, 0)","(0.0, -8.0)","(10, 38)","(-15, 72)","(-111, -4)","(-32, 107)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-311, -257)","(-310, -257)",0,4,200,13931
"(-2, 0)","(0.0, -8.0)","(9, 38)","(-16, 72)","(-33, 107)","(-112, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-312, -257)","(-310, -257)",0,4,200,13966
"(-3, 0)","(0.0, -8.0)","(8, 38)","(-17, 72)","(-34, 107)","(-113, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-313, -257)","(-310, -257)",0,4,200,14000
"(-4, 0)","(0.0, -8.0)","(7, 38)","(-18, 72)","(-35, 107)","(-114, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-314, -257)","(-310, -257)",0,4,200,14036
"(-5, 0)","(0.0, -8.0)","(6, 38)","(-19, 72)","(-36, 107)","(-115, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-315, -257)","(-310, -257)",0,4,200,14071
"(-6, 0)","(0.0, -8.0)","(5, 38)","(-20, 72)","(-37, 107)","(-116, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-316, -257)","(-310, -257)",0,4,200,14107
"(-7, 0)","(0.0, -8.0)","(4, 38)","(-21, 72)","(-38, 107)","(-117, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-317, -257)","(-310, -257)",0,4,200,14143
"(-8, 0)","(0.0, -8.0)","(3, 38)","(-22, 72)","(-39, 107)","(-118, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-318, -257)","(-310, -257)",0,4,200,14179
"(-9, 0)","(0.0, -8.0)","(2, 38)","(-23, 72)","(-40, 107)","(-119, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-319, -257)","(-310, -257)",0,4,200,14214
"(-10, 0)","(0.0, -8.0)","(1, 38)","(-24, 72)","(-41, 107)","(-120, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-320, -257)","(-310, -257)",0,4,200,14250
"(-11, 0)","(0.0, -8.0)","(0, 38)","(-25, 72)","(-42, 107)","(-121, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-321, -257)","(-310, -257)",0,4,200,14286
"(-12, 0)","(0.0, -8.0)","(0.0, 38.0)","(-26, 72)","(-43, 107)","(-122, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-322, -257)","(-310, -257)",0,4,200,14321
"(-13, 0)","(0.0, -8.0)","(0.0, 38.0)","(-27, 72)","(-44, 107)","(-123, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-323, -257)","(-310, -257)",0,4,200,14357
"(-14, 0)","(0.0, -8.0)","(0.0, 38.0)","(-28, 72)","(-45, 107)","(-124, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-324, -257)","(-310, -257)",0,4,200,14393
"(-15, 0)","(0.0, -8.0)","(0.0, 38.0)","(-29, 72)","(-46, 107)","(-125, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-325, -257)","(-310, -257)",0,4,200,14429
"(-16, 0)","(0.0, -8.0)","(0.0, 38.0)","(-30, 72)","(-47, 107)","(-126, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-326, -257)","(-310, -257)",0,4,200,14464
"(-17, 0)","(0.0, -8.0)","(0.0, 38.0)","(-31, 72)","(-48, 107)","(-127, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-327, -257)","(-310, -257)",0,4,200,14500
"(-18, 0)","(0.0, -8.0)","(0.0, 38.0)","(-32, 72)","(-49, 107)","(-128, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-328, -257)","(-310, -257)",0,4,200,14536
"(-19, 0)","(0.0, -8.0)","(0.0, 38.0)","(-33, 72)","(-50, 107)","(-129, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-329, -257)","(-310, -257)",0,4,200,14571
"(-20, 0)","(0.0, -8.0)","(0.0, 38.0)","(-34, 72)","(-51, 107)","(-130, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-330, -257)","(-310, -257)",0,4,200,14607
"(-21, 0)","(0.0, -8.0)","(0.0, 38.0)","(-35, 72)","(-52, 107)","(-131, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-331, -257)","(-310, -257)",0,4,200,14643
"(-22, 0)","(0.0, -8.0)","(0.0, 38.0)","(-36, 72)","(-53, 107)","(-132, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-332, -257)","(-310, -257)",0,4,200,14679
"(-23, 0)","(0.0, -8.0)","(0.0, 38.0)","(-37, 72)","(-54, 107)","(-133, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-333, -257)","(-310, -257)",0,4,200,14714
"(-24, 0)","(0.0, -8.0)","(0.0, 38.0)","(-38, 72)","(-55, 107)","(-134, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-334, -257)","(-310, -257)",0,4,200,14750
"(-25, 0)","(0.0, -8.0)","(0.0, 38.0)","(-39, 72)","(-56, 107)","(-135, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-335, -257)","(-310, -257)",0,4,200,14786
"(-26, 0)","(0, -8)","(0.0, 38.0)","(-40, 72)","(-57, 107)","(-136, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-336, -257)","(-310, -257)",0,4,200,14821
"(-27, 0)","(-1, -8)","(0.0, 38.0)","(-41, 72)","(-58, 107)","(-137, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-337, -257)","(-310, -257)",0,4,200,14857
"(-28, 0)","(-2, -8)","(0.0, 38.0)","(-42, 72)","(-59, 107)","(-138, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-338, -257)","(-310, -257)",0,4,200,14893
"(-29, 0)","(-3, -8)","(0.0, 38.0)","(-43, 72)","(-60, 107)","(-139, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-339, -257)","(-310, -257)",0,4,200,14929
"(-30, 0)","(-4, -8)","(0.0, 38.0)","(-44, 72)","(-61, 107)","(-140, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-340, -257)","(-310, -257)",0,4,200,14964
"(-31, 0)","(-5, -8)","(0.0, 38.0)","(-45, 72)","(-62, 107)","(-141, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-341, -257)","(-310, -257)",0,4,200,15000
"(-32, 0)","(-6, -8)","(0.0, 38.0)","(-46, 72)","(-63, 107)","(-142, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-342, -257)","(-310, -257)",0,4,200,15037
"(-33, 0)","(-7, -8)","(0.0, 38.0)","(-47, 72)","(-64, 107)","(-143, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-343, -257)","(-310, -257)",0,4,200,15074
"(-34, 0)","(-8, -8)","(0.0, 38.0)","(-48, 72)","(-65, 107)","(-144, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-344, -257)","(-310, -257)",0,4,200,15111
"(-35, 0)","(-9, -8)","(0.0, 38.0)","(-49, 72)","(-66, 107)","(-145, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-345, -257)","(-310, -257)",0,4,200,15148
"(-36, 0)","(-10, -8)","(0.0, 38.0)","(-50, 72)","(-67, 107)","(-146, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-346, -257)","(-310, -257)",0,4,200,15185
"(-37, 0)","(-11, -8)","(0.0, 38.0)","(-51, 72)","(-68, 107)","(-147, -4)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-347, -257)","(-310, -257)",0,4,200,15222
"(-38, 0)","(-12, -8)","(0.0, 38.0)","(-52, 72)","(-69, 107)","(-15, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-348, -257)","(-310, -257)",0,4,200,15259
"(-39, 0)","(-13, -8)","(0.0, 38.0)","(-53, 72)","(-70, 107)","(-16, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-349, -257)","(-310, -257)",0,4,200,15296
"(-40, 0)","(-14, -8)","(3.552713678800501e-15, 38.0)","(-54, 72)","(-71, 107)","(-17, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-350, -257)","(-310, -257)",0,4,200,15333
"(-41, 0)","(-15, -8)","(0.0, 38.0)","(-55, 72)","(-72, 107)","(-18, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-351, -257)","(-310, -257)",0,4,200,15370
"(-42, 0)","(-16, -8)","(0.0, 38.0)","(-56, 72)","(-73, 107)","(-19, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-352, -257)","(-310, -257)",0,4,200,15407
"(-43, 0)","(-17, -8)","(0.0, 38.0)","(-57, 72)","(-74, 107)","(-20, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-353, -257)","(-310, -257)",0,4,200,15444
"(-44, 0)","(-18, -8)","(0.0, 38.0)","(-58, 72)","(-75, 107)","(-21, 147)","(0.0, -8.0)","(11, 38)","(-14, 72)","(-110, -4)","(-31, 107)","(-354, -257)","(-310, -257)",0,4,200,15481
