P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(0, -1)","(-41, 45)","(-54, 85)","(-113.0, 0.0)","(55, 127)","(-114, 85)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 272)","(-19, 273)",2,4,200,8071
"(0, -2)","(-41, 44)","(-54, 84)","(-113.0, 0.0)","(55, 126)","(-114, 84)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 271)","(-19, 273)",2,4,200,8107
"(0, -3)","(-41, 43)","(-54, 83)","(-113.0, 0.0)","(55, 125)","(-114, 83)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 270)","(-19, 273)",2,4,200,8143
"(0, -4)","(-41, 42)","(-54, 82)","(-113.0, 0.0)","(55, 124)","(-114, 82)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 269)","(-19, 273)",2,4,200,8179
"(0, -5)","(-41, 41)","(-54, 81)","(-113.0, 0.0)","(55, 123)","(-114, 81)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 268)","(-19, 273)",2,4,200,8214
"(0, -6)","(-41, 40)","(-54, 80)","(-113.0, 0.0)","(55, 122)","(0.0, 139.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 267)","(-19, 273)",2,4,200,8250
"(0, -7)","(-41, 39)","(-54, 79)","(-113.0, 0.0)","(55, 121)","(0.0, 138.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 266)","(-19, 273)",2,4,200,8286
"(0, -8)","(-41, 38)","(-54, 78)","(-113.0, 0.0)","(55, 120)","(0.0, 137.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 265)","(-19, 273)",2,4,200,8321
"(0, -9)","(-41, 37)","(-54, 77)","(-113, 0)","(55, 119)","(0.0, 136.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 264)","(-19, 273)",2,4,200,8357
"(0, -10)","(-41, 36)","(-54, 76)","(-113, -1)","(55, 118)","(0.0, 135.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 263)","(-19, 273)",2,4,200,8393
