P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(24, 49)","(-65, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-133, 243)","(-134, 243)",8643
"(2, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(25, 49)","(-64, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-132, 243)","(-134, 243)",8679
"(3, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(26, 49)","(-63, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-131, 243)","(-134, 243)",8714
"(4, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(27, 49)","(-62, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-130, 243)","(-134, 243)",8750
"(5, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(28, 49)","(-61, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-129, 243)","(-134, 243)",8786
"(6, 0)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(29, 49)","(-60, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-128, 243)","(-134, 243)",8821
"(7, 0)","(0.0, 26.0)","(0.0, 30.0)","(0, 50)","(30, 49)","(-59, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-127, 243)","(-134, 243)",8857
"(8, 0)","(0.0, 26.0)","(0.0, 30.0)","(1, 50)","(31, 49)","(-58, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-126, 243)","(-134, 243)",8893
"(9, 0)","(0.0, 26.0)","(0.0, 30.0)","(2, 50)","(32, 49)","(-57, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-125, 243)","(-134, 243)",8929
"(10, 0)","(0.0, 26.0)","(0.0, 30.0)","(3, 50)","(33, 49)","(-56, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-124, 243)","(-134, 243)",8964
"(11, 0)","(0.0, 26.0)","(0.0, 30.0)","(4, 50)","(34, 49)","(-55, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-123, 243)","(-134, 243)",9000
"(12, 0)","(0.0, 26.0)","(0.0, 30.0)","(5, 50)","(35, 49)","(-54, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-122, 243)","(-134, 243)",9036
"(13, 0)","(0.0, 26.0)","(0.0, 30.0)","(6, 50)","(36, 49)","(-53, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-121, 243)","(-134, 243)",9071
"(14, 0)","(0.0, 26.0)","(0.0, 30.0)","(7, 50)","(37, 49)","(-52, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-120, 243)","(-134, 243)",9107
"(15, 0)","(0.0, 26.0)","(0.0, 30.0)","(8, 50)","(38, 49)","(-51, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-119, 243)","(-134, 243)",9143
"(16, 0)","(0.0, 26.0)","(0.0, 30.0)","(9, 50)","(39, 49)","(-50, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-118, 243)","(-134, 243)",9179
"(17, 0)","(0.0, 26.0)","(0.0, 30.0)","(10, 50)","(40, 49)","(-49, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-117, 243)","(-134, 243)",9214
"(18, 0)","(0.0, 26.0)","(0.0, 30.0)","(11, 50)","(41, 49)","(-48, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-116, 243)","(-134, 243)",9250
"(19, 0)","(0.0, 26.0)","(0.0, 30.0)","(12, 50)","(42, 49)","(-47, -45)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-115, 243)","(-134, 243)",9286
"(20, 0)","(0.0, 26.0)","(0.0, 30.0)","(13, 50)","(-46, -45)","(43, 49)","(0.0, 26.0)","(0.0, 30.0)","(0.0, 50.0)","(23, 49)","(-66, -45)","(-114, 243)","(-134, 243)",9321
