P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, 1)","(0.0, 31.0)","(13, 63)","(2, -82)","(0.0, 108.0)","(31, -122)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -93)","(-134, -94)",5741
"(0, 2)","(0.0, 32.0)","(13, 64)","(2, -81)","(0.0, 109.0)","(31, -121)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -92)","(-134, -94)",5778
"(0, 3)","(0.0, 33.0)","(13, 65)","(2, -80)","(0.0, 110.0)","(31, -120)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -91)","(-134, -94)",5815
"(0, 4)","(0.0, 34.0)","(13, 66)","(2, -79)","(0.0, 111.0)","(31, -119)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -90)","(-134, -94)",5852
"(0, 5)","(0.0, 35.0)","(13, 67)","(2, -78)","(0.0, 112.0)","(31, -118)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -89)","(-134, -94)",5889
"(0, 6)","(0.0, 36.0)","(13, 68)","(2, -77)","(0.0, 113.0)","(31, -117)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -88)","(-134, -94)",5926
"(0, 7)","(0.0, 37.0)","(13, 69)","(2, -76)","(0.0, 114.0)","(31, -116)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -87)","(-134, -94)",5963
"(0, 8)","(0.0, 38.0)","(13, 70)","(2, -75)","(0.0, 115.0)","(31, -115)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -86)","(-134, -94)",6000
"(0, 9)","(0.0, 39.0)","(13, 71)","(2, -74)","(0.0, 116.0)","(31, -114)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -85)","(-134, -94)",6037
"(0, 10)","(0.0, 40.0)","(2, -73)","(13, 72)","(0.0, 117.0)","(31, -113)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -84)","(-134, -94)",6074
"(0, 11)","(0.0, 41.0)","(2, -72)","(13, 73)","(31, -112)","(0.0, 118.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -83)","(-134, -94)",6111
"(0, 12)","(0.0, 42.0)","(2, -71)","(13, 74)","(31, -111)","(0.0, 119.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -82)","(-134, -94)",6148
"(0, 13)","(0.0, 43.0)","(2, -70)","(13, 75)","(31, -110)","(0.0, 120.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -81)","(-134, -94)",6185
"(0, 14)","(0.0, 44.0)","(2, -69)","(13, 76)","(31, -109)","(0.0, 121.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -80)","(-134, -94)",6222
"(0, 15)","(0.0, 45.0)","(2, -68)","(13, 77)","(31, -108)","(0.0, 122.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -79)","(-134, -94)",6259
"(0, 16)","(0.0, 46.0)","(2, -67)","(13, 78)","(31, -107)","(0.0, 123.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -78)","(-134, -94)",6296
"(0, 17)","(0.0, 47.0)","(2, -66)","(13, 79)","(31, -106)","(0.0, 124.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -77)","(-134, -94)",6333
"(0, 18)","(0.0, 48.0)","(2, -65)","(13, 80)","(31, -105)","(0.0, 125.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -76)","(-134, -94)",6370
"(0, 19)","(0.0, 49.0)","(2, -64)","(13, 81)","(31, -104)","(0.0, 126.0)","(0.0, 30.0)","(13, 62)","(2, -83)","(0.0, 107.0)","(111, 60)","(-134, -75)","(-134, -94)",6407
