P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(31.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(56.0, 0.0)","(-72.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(484, 48)","(483, 48)",10259
"(2, 0)","(32.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(57.0, 0.0)","(-71.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(485, 48)","(483, 48)",10296
"(3, 0)","(33.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(58.0, 0.0)","(-70.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(486, 48)","(483, 48)",10333
"(4, 0)","(34.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(59.0, 0.0)","(-69.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(487, 48)","(483, 48)",10370
"(5, 0)","(35.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(60.0, 0.0)","(-68.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(488, 48)","(483, 48)",10407
"(6, 0)","(36.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(61.0, 0.0)","(-67.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(489, 48)","(483, 48)",10444
"(7, 0)","(37.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(62.0, 0.0)","(-66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(490, 48)","(483, 48)",10481
"(8, 0)","(0.0, -37.0)","(38.0, 0.0)","(0.0, 53.0)","(63.0, 0.0)","(-65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(491, 48)","(483, 48)",10519
"(9, 0)","(0.0, -37.0)","(39.0, 0.0)","(0.0, 53.0)","(-64.0, 0.0)","(64.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(492, 48)","(483, 48)",10556
"(10, 0)","(0.0, -37.0)","(40.0, 0.0)","(0.0, 53.0)","(-63.0, 0.0)","(65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(493, 48)","(483, 48)",10593
"(11, 0)","(0.0, -37.0)","(41.0, 0.0)","(0.0, 53.0)","(-62.0, 0.0)","(66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(494, 48)","(483, 48)",10630
"(12, 0)","(0.0, -37.0)","(42.0, 0.0)","(0.0, 53.0)","(-61.0, 0.0)","(67.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(495, 48)","(483, 48)",10667
"(13, 0)","(0.0, -37.0)","(43.0, 0.0)","(0.0, 53.0)","(-60.0, 0.0)","(68.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(496, 48)","(483, 48)",10704
"(14, 0)","(0.0, -37.0)","(44.0, 0.0)","(0.0, 53.0)","(-59.0, 0.0)","(-68.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(497, 48)","(483, 48)",10741
"(15, 0)","(0.0, -37.0)","(45.0, 0.0)","(0.0, 53.0)","(-58.0, 0.0)","(-67.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(498, 48)","(483, 48)",10778
"(16, 0)","(0.0, -37.0)","(46.0, 0.0)","(0.0, 53.0)","(-57.0, 0.0)","(-66.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(499, 48)","(483, 48)",10815
"(17, 0)","(0.0, -37.0)","(47.0, 0.0)","(0.0, 53.0)","(-56.0, 0.0)","(-65.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(500, 48)","(483, 48)",10852
"(18, 0)","(0, -37)","(48.0, 0.0)","(0.0, 53.0)","(-55.0, 0.0)","(-64.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(501, 48)","(483, 48)",10889
"(19, 0)","(1, -37)","(49.0, 0.0)","(0.0, 53.0)","(-54.0, 0.0)","(-63.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(502, 48)","(483, 48)",10926
"(20, 0)","(2, -37)","(50.0, 0.0)","(-53.0, 0.0)","(0.0, 53.0)","(-62.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(503, 48)","(483, 48)",10963
"(21, 0)","(3, -37)","(51.0, 0.0)","(-52.0, 0.0)","(0.0, 53.0)","(-61.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(504, 48)","(483, 48)",11000
"(22, 0)","(4, -37)","(-51.0, 0.0)","(52.0, 0.0)","(0.0, 53.0)","(-60.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(505, 48)","(483, 48)",11036
"(23, 0)","(5, -37)","(-50.0, 0.0)","(53.0, 0.0)","(0.0, 53.0)","(-59.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(506, 48)","(483, 48)",11071
"(24, 0)","(6, -37)","(-49.0, 0.0)","(0.0, 53.0)","(54.0, 0.0)","(-58.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(507, 48)","(483, 48)",11107
"(25, 0)","(7, -37)","(-48.0, 0.0)","(0.0, 53.0)","(55.0, 0.0)","(-57.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(508, 48)","(483, 48)",11143
"(26, 0)","(8, -37)","(-47.0, 0.0)","(0.0, 53.0)","(56.0, 0.0)","(-56.0, 0.0)","(30.0, 0.0)","(0.0, -37.0)","(0.0, 53.0)","(55.0, 0.0)","(-73.0, 0.0)","(509, 48)","(483, 48)",11179
