P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(-1, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(57, -30)","(11, -117)","(-4, -140)","(-169.0, 0.0)","(-22, -188)","(-21, -188)",6296
"(-2, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(58, -30)","(12, -117)","(-3, -140)","(-168.0, 0.0)","(-22, -188)","(-20, -188)",6333
"(-3, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(59, -30)","(13, -117)","(-2, -140)","(-167.0, 0.0)","(-22, -188)","(-19, -188)",6370
"(-4, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(60, -30)","(14, -117)","(-1, -140)","(-166.0, 0.0)","(-22, -188)","(-18, -188)",6407
"(-5, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(61, -30)","(15, -117)","(0, -140)","(-165.0, 0.0)","(-22, -188)","(-17, -188)",6444
"(-6, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(62, -30)","(16, -117)","(0.0, -140.0)","(-164.0, 0.0)","(-22, -188)","(-16, -188)",6481
"(-7, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(63, -30)","(17, -117)","(0.0, -140.0)","(-163.0, 0.0)","(-22, -188)","(-15, -188)",6519
"(-8, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(64, -30)","(18, -117)","(0.0, -140.0)","(-162.0, 0.0)","(-22, -188)","(-14, -188)",6556
"(-9, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(65, -30)","(19, -117)","(0.0, -140.0)","(-161.0, 0.0)","(-22, -188)","(-13, -188)",6593
"(-10, 0)","(0.0, -11.0)","(56, -30)","(10, -117)","(-5, -140)","(-170.0, 0.0)","(0.0, -11.0)","(66, -30)","(20, -117)","(0.0, -140.0)","(-160.0, 0.0)","(-22, -188)","(-12, -188)",6630
