P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(0.0, -31.0)","(-37, 3)","(0.0, -114.0)","(-169.0, 0.0)","(-211, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-538, 84)","(-539, 84)",10286
"(2, 0)","(0.0, -31.0)","(-36, 3)","(0.0, -114.0)","(-168.0, 0.0)","(-210, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-537, 84)","(-539, 84)",10321
"(3, 0)","(0.0, -31.0)","(-35, 3)","(0.0, -114.0)","(-167.0, 0.0)","(-209, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-536, 84)","(-539, 84)",10357
"(4, 0)","(0.0, -31.0)","(-34, 3)","(0.0, -114.0)","(-166.0, 0.0)","(-208, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-535, 84)","(-539, 84)",10393
"(5, 0)","(0.0, -31.0)","(-33, 3)","(0.0, -114.0)","(-165.0, 0.0)","(-207, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-534, 84)","(-539, 84)",10429
"(6, 0)","(0.0, -31.0)","(-32, 3)","(0.0, -114.0)","(-164.0, 0.0)","(-206, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-533, 84)","(-539, 84)",10464
"(7, 0)","(0.0, -31.0)","(-31, 3)","(0.0, -114.0)","(-163.0, 0.0)","(-205, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-532, 84)","(-539, 84)",10500
"(8, 0)","(-30, 3)","(0.0, -31.0)","(0.0, -114.0)","(-162.0, 0.0)","(-204, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-531, 84)","(-539, 84)",10536
"(9, 0)","(-29, 3)","(0.0, -31.0)","(0.0, -114.0)","(-161.0, 0.0)","(-203, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-530, 84)","(-539, 84)",10571
"(10, 0)","(-28, 3)","(0.0, -31.0)","(0.0, -114.0)","(-160.0, 0.0)","(-202, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-529, 84)","(-539, 84)",10607
"(11, 0)","(-27, 3)","(0.0, -31.0)","(0.0, -114.0)","(-159.0, 0.0)","(-201, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-528, 84)","(-539, 84)",10643
"(12, 0)","(-26, 3)","(0.0, -31.0)","(0.0, -114.0)","(-158.0, 0.0)","(-200, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-527, 84)","(-539, 84)",10679
"(13, 0)","(-25, 3)","(0.0, -31.0)","(0.0, -114.0)","(-157.0, 0.0)","(-199, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-526, 84)","(-539, 84)",10714
"(14, 0)","(-24, 3)","(0.0, -31.0)","(0.0, -114.0)","(-156.0, 0.0)","(-198, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-525, 84)","(-539, 84)",10750
"(15, 0)","(-23, 3)","(0.0, -31.0)","(0.0, -114.0)","(-155.0, 0.0)","(-197, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-524, 84)","(-539, 84)",10786
"(16, 0)","(-22, 3)","(0.0, -31.0)","(0.0, -114.0)","(-154.0, 0.0)","(-196, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-523, 84)","(-539, 84)",10821
"(17, 0)","(-21, 3)","(0.0, -31.0)","(0.0, -114.0)","(-153.0, 0.0)","(-195, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-522, 84)","(-539, 84)",10857
"(18, 0)","(-20, 3)","(0.0, -31.0)","(0.0, -114.0)","(-152.0, 0.0)","(-194, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-521, 84)","(-539, 84)",10893
"(19, 0)","(-19, 3)","(0.0, -31.0)","(0.0, -114.0)","(-151.0, 0.0)","(-193, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-520, 84)","(-539, 84)",10929
"(20, 0)","(-18, 3)","(0.0, -31.0)","(0.0, -114.0)","(-150.0, 0.0)","(-192, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-519, 84)","(-539, 84)",10964
"(21, 0)","(-17, 3)","(0.0, -31.0)","(0.0, -114.0)","(-149.0, 0.0)","(-191, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-518, 84)","(-539, 84)",11000
"(22, 0)","(-16, 3)","(0.0, -31.0)","(0.0, -114.0)","(-148.0, 0.0)","(-190, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-517, 84)","(-539, 84)",11036
"(23, 0)","(-15, 3)","(0.0, -31.0)","(0.0, -114.0)","(-147.0, 0.0)","(-189, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-516, 84)","(-539, 84)",11071
"(24, 0)","(-14, 3)","(0.0, -31.0)","(0.0, -114.0)","(-146.0, 0.0)","(-188, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-515, 84)","(-539, 84)",11107
"(25, 0)","(-13, 3)","(0.0, -31.0)","(0.0, -114.0)","(-145.0, 0.0)","(-187, 46)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-514, 84)","(-539, 84)",11143
"(25, 1)","(-13, 4)","(0.0, -30.0)","(0.0, -113.0)","(-145.0, 0.0)","(-187, 47)","(0.0, -31.0)","(-38, 3)","(0.0, -114.0)","(-170.0, 0.0)","(-212, 46)","(-514, 85)","(-539, 84)",11357
