P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(0.0, -51.0)","(0.0, 69.0)","(67, -23)","(-10, 92)","(-105, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-215, 117)","(-216, 117)",6214
"(2, 0)","(0.0, -51.0)","(0.0, 69.0)","(68, -23)","(-9, 92)","(-104, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-214, 117)","(-216, 117)",6250
"(3, 0)","(0.0, -51.0)","(0.0, 69.0)","(69, -23)","(-8, 92)","(-103, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-213, 117)","(-216, 117)",6286
"(4, 0)","(0.0, -51.0)","(0.0, 69.0)","(70, -23)","(-7, 92)","(-102, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-212, 117)","(-216, 117)",6321
"(5, 0)","(0.0, -51.0)","(0.0, 69.0)","(71, -23)","(-6, 92)","(-101, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-211, 117)","(-216, 117)",6357
"(6, 0)","(0.0, -51.0)","(0.0, 69.0)","(72, -23)","(-5, 92)","(-100, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-210, 117)","(-216, 117)",6393
"(7, 0)","(0.0, -51.0)","(0.0, 69.0)","(73, -23)","(-4, 92)","(-99, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-209, 117)","(-216, 117)",6429
"(8, 0)","(0.0, -51.0)","(0.0, 69.0)","(74, -23)","(-3, 92)","(-98, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-208, 117)","(-216, 117)",6464
"(9, 0)","(0.0, -51.0)","(0.0, 69.0)","(75, -23)","(-2, 92)","(-97, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-207, 117)","(-216, 117)",6500
"(10, 0)","(0.0, -51.0)","(0.0, 69.0)","(76, -23)","(-1, 92)","(-96, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-206, 117)","(-216, 117)",6536
"(11, 0)","(0.0, -51.0)","(0.0, 69.0)","(77, -23)","(0, 92)","(-95, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-205, 117)","(-216, 117)",6571
"(12, 0)","(0.0, -51.0)","(0.0, 69.0)","(78, -23)","(0.0, 92.0)","(-94, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-204, 117)","(-216, 117)",6607
"(13, 0)","(0.0, -51.0)","(0.0, 69.0)","(79, -23)","(0.0, 92.0)","(-93, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-203, 117)","(-216, 117)",6643
"(14, 0)","(0.0, -51.0)","(0.0, 69.0)","(80, -23)","(0.0, 92.0)","(-92, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-202, 117)","(-216, 117)",6679
"(15, 0)","(0.0, -51.0)","(0.0, 69.0)","(81, -23)","(0.0, 92.0)","(-91, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-201, 117)","(-216, 117)",6714
"(16, 0)","(0.0, -51.0)","(0.0, 69.0)","(82, -23)","(0.0, 92.0)","(-90, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-200, 117)","(-216, 117)",6750
"(17, 0)","(0.0, -51.0)","(0.0, 69.0)","(83, -23)","(0.0, 92.0)","(-89, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-199, 117)","(-216, 117)",6786
"(18, 0)","(0.0, -51.0)","(0.0, 69.0)","(84, -23)","(0.0, 92.0)","(-88, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-198, 117)","(-216, 117)",6821
"(19, 0)","(0.0, -51.0)","(0.0, 69.0)","(85, -23)","(0.0, 92.0)","(-87, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-197, 117)","(-216, 117)",6857
"(20, 0)","(0.0, -51.0)","(0.0, 69.0)","(86, -23)","(0.0, 92.0)","(-86, 42)","(0.0, -51.0)","(0.0, 69.0)","(66, -23)","(-11, 92)","(-106, 42)","(-196, 117)","(-216, 117)",6893
