P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(1, 0)","(-87, 119)","(-162, 68)","(-177, 73)","(-90, 183)","(-37, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-14, 19)","(-15, 19)",7893
"(2, 0)","(-86, 119)","(-161, 68)","(-176, 73)","(-89, 183)","(-36, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-13, 19)","(-15, 19)",7929
"(3, 0)","(-85, 119)","(-160, 68)","(-175, 73)","(-88, 183)","(-35, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-12, 19)","(-15, 19)",7964
"(4, 0)","(-84, 119)","(-159, 68)","(-174, 73)","(-87, 183)","(-34, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-11, 19)","(-15, 19)",8000
"(5, 0)","(-83, 119)","(-158, 68)","(-173, 73)","(-86, 183)","(-33, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-10, 19)","(-15, 19)",8034
"(6, 0)","(-82, 119)","(-157, 68)","(-172, 73)","(-85, 183)","(-32, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-9, 19)","(-15, 19)",8069
"(7, 0)","(-81, 119)","(-156, 68)","(-171, 73)","(-84, 183)","(-31, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-8, 19)","(-15, 19)",8103
"(8, 0)","(-80, 119)","(-155, 68)","(-170, 73)","(-83, 183)","(-30, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-7, 19)","(-15, 19)",8483
"(9, 0)","(-79, 119)","(-154, 68)","(-169, 73)","(-82, 183)","(-29, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-6, 19)","(-15, 19)",8517
"(10, 0)","(-78, 119)","(-153, 68)","(-168, 73)","(-81, 183)","(-28, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-5, 19)","(-15, 19)",8552
"(11, 0)","(-77, 119)","(-152, 68)","(-167, 73)","(-80, 183)","(-27, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-4, 19)","(-15, 19)",8586
"(12, 0)","(-76, 119)","(-151, 68)","(-166, 73)","(-79, 183)","(-26, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-3, 19)","(-15, 19)",8621
"(13, 0)","(-75, 119)","(-150, 68)","(-165, 73)","(-78, 183)","(-25, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-2, 19)","(-15, 19)",8655
"(14, 0)","(-74, 119)","(-149, 68)","(-164, 73)","(-77, 183)","(-24, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(-1, 19)","(-15, 19)",8690
"(15, 0)","(-73, 119)","(-148, 68)","(-163, 73)","(-76, 183)","(-23, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(0, 19)","(-15, 19)",8724
"(16, 0)","(-72, 119)","(-147, 68)","(-162, 73)","(-75, 183)","(-22, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(1, 19)","(-15, 19)",8759
"(17, 0)","(-71, 119)","(-146, 68)","(-161, 73)","(-74, 183)","(-21, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(2, 19)","(-15, 19)",8793
"(18, 0)","(-70, 119)","(-145, 68)","(-160, 73)","(-73, 183)","(-20, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(3, 19)","(-15, 19)",8828
"(19, 0)","(-69, 119)","(-144, 68)","(-159, 73)","(-72, 183)","(-19, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(4, 19)","(-15, 19)",8862
"(20, 0)","(-68, 119)","(-143, 68)","(-158, 73)","(-71, 183)","(-18, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(5, 19)","(-15, 19)",8897
"(21, 0)","(-67, 119)","(-142, 68)","(-157, 73)","(-70, 183)","(-17, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(6, 19)","(-15, 19)",8931
"(22, 0)","(-66, 119)","(-141, 68)","(-156, 73)","(-69, 183)","(-16, 218)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(7, 19)","(-15, 19)",8966
"(23, 0)","(-65, 119)","(-140, 68)","(-155, 73)","(-68, 183)","(-218, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(8, 19)","(-15, 19)",9000
"(24, 0)","(-64, 119)","(-139, 68)","(-154, 73)","(-67, 183)","(-217, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(9, 19)","(-15, 19)",9036
"(25, 0)","(-63, 119)","(-138, 68)","(-153, 73)","(-66, 183)","(-216, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(10, 19)","(-15, 19)",9071
"(26, 0)","(-62, 119)","(-137, 68)","(-152, 73)","(-65, 183)","(-215, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(11, 19)","(-15, 19)",9107
"(27, 0)","(-61, 119)","(-136, 68)","(-151, 73)","(-64, 183)","(-214, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(12, 19)","(-15, 19)",9143
"(28, 0)","(-60, 119)","(-135, 68)","(-150, 73)","(-63, 183)","(-213, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(13, 19)","(-15, 19)",9179
"(29, 0)","(-59, 119)","(-134, 68)","(-149, 73)","(-62, 183)","(-212, -4)","(-88, 119)","(-163, 68)","(-178, 73)","(-91, 183)","(-38, 218)","(14, 19)","(-15, 19)",9214
