P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(-1, 0)","(0.0, 10.0)","(-22.0, 0.0)","(15, -49)","(146, -46)","(161, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(272, -98)","(273, -98)",5964
"(-2, 0)","(0.0, 10.0)","(-23.0, 0.0)","(14, -49)","(145, -46)","(160, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(271, -98)","(273, -98)",6000
"(-3, 0)","(0.0, 10.0)","(-24.0, 0.0)","(13, -49)","(144, -46)","(159, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(270, -98)","(273, -98)",6037
"(-4, 0)","(0.0, 10.0)","(-25.0, 0.0)","(12, -49)","(143, -46)","(158, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(269, -98)","(273, -98)",6074
"(-5, 0)","(0.0, 10.0)","(-26.0, 0.0)","(11, -49)","(142, -46)","(157, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(268, -98)","(273, -98)",6111
"(-6, 0)","(0.0, 10.0)","(-27.0, 0.0)","(10, -49)","(141, -46)","(156, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(267, -98)","(273, -98)",6148
"(-7, 0)","(0.0, 10.0)","(-28.0, 0.0)","(9, -49)","(140, -46)","(155, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(266, -98)","(273, -98)",6185
"(-8, 0)","(0.0, 10.0)","(-29.0, 0.0)","(8, -49)","(139, -46)","(154, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(265, -98)","(273, -98)",6222
"(-9, 0)","(0.0, 10.0)","(-30.0, 0.0)","(7, -49)","(138, -46)","(153, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(264, -98)","(273, -98)",6259
"(-10, 0)","(0.0, 10.0)","(-31.0, 0.0)","(6, -49)","(137, -46)","(152, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(263, -98)","(273, -98)",6296
"(-11, 0)","(0.0, 10.0)","(-32.0, 0.0)","(5, -49)","(136, -46)","(151, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(262, -98)","(273, -98)",6333
"(-12, 0)","(0.0, 10.0)","(-33.0, 0.0)","(4, -49)","(135, -46)","(150, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(261, -98)","(273, -98)",6370
"(-13, 0)","(0.0, 10.0)","(-34.0, 0.0)","(3, -49)","(134, -46)","(149, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(260, -98)","(273, -98)",6407
"(-14, 0)","(0.0, 10.0)","(-35.0, 0.0)","(2, -49)","(133, -46)","(148, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(259, -98)","(273, -98)",6444
"(-15, 0)","(0.0, 10.0)","(-36.0, 0.0)","(1, -49)","(132, -46)","(147, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(258, -98)","(273, -98)",6481
"(-16, 0)","(0.0, 10.0)","(-37.0, 0.0)","(0, -49)","(131, -46)","(146, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(257, -98)","(273, -98)",6519
"(-17, 0)","(0.0, 10.0)","(-38.0, 0.0)","(0.0, -49.0)","(130, -46)","(145, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(256, -98)","(273, -98)",6556
"(-18, 0)","(0.0, 10.0)","(-39.0, 0.0)","(0.0, -49.0)","(129, -46)","(144, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(255, -98)","(273, -98)",6593
"(-19, 0)","(0.0, 10.0)","(-40.0, 0.0)","(0.0, -49.0)","(128, -46)","(143, -42)","(0.0, 10.0)","(-21.0, 0.0)","(16, -49)","(147, -46)","(162, -42)","(254, -98)","(273, -98)",6630
